muscle_id,muscle_name,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
1,Masseter (Left),-8,0,0,0
2,Masseter (Right),0,-8,0,0
3,Temporalis (Left),-8,0,0,0
4,Temporalis (Right),0,-8,0,0
5,Medial Pterygoid (Left),-8,0,0,0
6,Medial Pterygoid (Right),0,-8,0,0
7,Lateral Pterygoid (Left),-8,0,0,0
8,Lateral Pterygoid (Right),0,-8,0,0
9,Digastric (Left),-8,0,0,0
10,Digastric (Right),0,-8,0,0
11,Mylohyoid (Left),-8,0,0,0
12,Mylohyoid (Right),0,-8,0,0
13,Stylohyoid (Left),-8,0,0,0
14,Stylohyoid (Right),0,-8,0,0
15,Sternohyoid (Left),-8,0,0,0
16,Sternohyoid (Right),0,-8,0,0
17,Sternothyroid (Left),-8,0,0,0
18,Sternothyroid (Right),0,-8,0,0
19,Omohyoid (Left),-8,0,0,0
20,Omohyoid (Right),0,-8,0,0
21,Thyrohyoid (Left),-8,0,0,0
22,Thyrohyoid (Right),0,-8,0,0
23,Temporalis Fascia (Left),-8,0,0,0
24,Temporalis Fascia (Right),0,-8,0,0
25,Superficial Fascia of Face/Scalp (Left),-8,0,0,0
26,Superficial Fascia of Face/Scalp (Right),0,-8,0,0
27,Longus Capitis (Left),-8,0,0,0
28,Longus Capitis (Right),0,-8,0,0
29,Longus Colli (Left),-8,0,0,0
30,Longus Colli (Right),0,-8,0,0
31,Rectus Capitis Anterior (Left),-8,0,0,0
32,Rectus Capitis Anterior (Right),0,-8,0,0
33,Sternocleidomastoid (Left),-8,0,0,0
34,Sternocleidomastoid (Right),0,-8,0,0
35,Scalenes (Anterior) (Left),-8,0,0,0
36,Scalenes (Anterior) (Right),0,-8,0,0
37,Scalenes (Middle) (Left),-8,0,0,0
38,Scalenes (Middle) (Right),0,-8,0,0
39,Scalenes (Posterior) (Left),-8,0,0,0
40,Scalenes (Posterior) (Right),0,-8,0,0
41,Rectus Capitis Posterior Major (Left),-8,0,0,0
42,Rectus Capitis Posterior Major (Right),0,-8,0,0
43,Rectus Capitis Posterior Minor (Left),-8,0,0,0
44,Rectus Capitis Posterior Minor (Right),0,-8,0,0
45,Obliquus Capitis Superior (Left),-8,0,0,0
46,Obliquus Capitis Superior (Right),0,-8,0,0
47,Obliquus Capitis Inferior (Left),-8,0,0,0
48,Obliquus Capitis Inferior (Right),0,-8,0,0
49,Splenius Capitis (Left),-8,0,0,0
50,Splenius Capitis (Right),0,-8,0,0
51,Splenius Cervicis (Left),-8,0,0,0
52,Splenius Cervicis (Right),0,-8,0,0
53,Levator Scapulae (Left),-8,0,0,0
54,Levator Scapulae (Right),0,-8,0,0
55,Upper Trapezius (Left),-8,0,0,0
