muscle_id,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward
27,6,-1,-4,-1,8
28,-1,6,-1,-4,8
29,6,-1,-4,-1,8
30,-1,6,-1,-4,8
31,6,-1,-4,-1,8
32,-1,6,-1,-4,8
33,8,-2,8,-2,6
34,-2,8,-2,8,6
35,6,-1,4,-1,4
36,-1,6,-1,4,4
37,6,-1,4,-1,4
38,-1,6,-1,4,4
39,6,-1,4,-1,4
40,-1,6,-1,4,4
41,-6,1,-8,2,-4
42,1,-6,2,-8,-4
43,-6,1,-8,2,-4
44,1,-6,2,-8,-4
45,-6,1,-8,2,-4
46,1,-6,2,-8,-4
47,-6,1,-8,2,-4
48,1,-6,2,-8,-4
49,-6,1,-8,2,-4
50,1,-6,2,-8,-4
51,-6,1,-8,2,-4
52,1,-6,2,-8,-4
53,4,-1,2,-1,2
54,-1,4,-1,2,2
55,4,-1,2,-1,2
56,-1,4,-1,2,2
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
