Number,Name,Side,Difficulty,How to Do It
1,Tadasana,Both,Easy,"Stand with feet hip-distance apart, distribute weight evenly, engage the leg muscles, lengthen the spine, and relax the shoulders."
2,Samasthiti,Both,Easy,"Stand upright with feet together or hip-width apart, ensuring even weight distribution; relax the arms at the sides."
3,Uttanasana,Both,Moderate,"From standing, hinge at the hips to fold forward while keeping the spine long; allow the upper body to relax toward the legs, bending the knees as needed."
4,Utkatasana,Both,Moderate,Stand with feet hip-width apart; bend the knees and lower the hips as if sitting in an imaginary chair while extending the arms upward.
5,Malasana,Both,Moderate,Stand with feet slightly wider than hip-width; squat down deeply with heels on the floor if possible. Bring your palms together at your chest and press your elbows against your inner thighs to help open the hips.
6,Padmasana,Both,Intermediate,Sit on the floor with your legs extended. Slowly bend one knee and place its foot on the opposite thigh; repeat with the other leg so that each foot rests on the opposite thigh.
7,Sukhasana,Both,Easy,Sit cross-legged on the floor with your spine upright and your hands resting on your knees or in your lap. Adjust your legs so that the weight is distributed evenly.
8,Vajrasana,Both,Easy,Kneel on the floor with your knees together. Sit back gently on your heels with your thighs resting on your calves and your spine erect.
9,Virasana,Both,Moderate,"Kneel with your knees together, then slide your buttocks down between your feet so that you sit on the floor. Keep your legs folded to the sides, with the tops of your feet flat on the ground."
10,Balasana,Both,Easy,"Begin on your knees, then sit back onto your heels. Lower your torso forward to rest on the floor with your forehead touching the mat. Extend your arms forward or allow them to rest alongside your body."
11,Setu Bandhasana,Both,Moderate,"Lie on your back with knees bent and feet flat on the floor, hip-width apart. Press into your feet to lift your hips off the floor, engaging the glutes and core while keeping your shoulders and head on the mat."
12,Chakrasana,Both,Advanced,"Lie on your back, bend your knees, and place your hands beside your ears. Press into your hands and feet to lift your body into a backbend, forming an arch with your spine."
13,Matsyasana,Both,Intermediate,"Lie on your back with your legs extended. Slide your hands under your hips and press them into the floor as you lift your chest upward, arching your back. Optionally, let your head rest lightly on the floor or on a small support."
14,Navasana,Both,Intermediate,Sit on the floor with your legs extended. Lean back slightly and lift your feet off the ground to form a V-shape with your torso and legs. Extend your arms forward parallel to the floor.
15,Bhujangasana,Both,Moderate,"Lie on your stomach with your hands placed under your shoulders. Press into your hands to lift your chest off the floor, keeping your elbows slightly bent."
16,Shalabhasana,Both,Intermediate,"Lie face down with your arms alongside your body. Lift your head, chest, arms, and legs off the floor simultaneously using a controlled motion."
17,Dhanurasana,Both,Advanced,"Lie on your stomach, bend your knees, and reach back to grasp your ankles. Inhale to lift your chest and legs off the floor simultaneously, creating a bow shape with your body."
18,Ustrasana,Both,Advanced,"Kneel on the mat with your knees hip-width apart. Place your hands on your lower back, then gently arch your spine to lift your chest upward. Optionally, reach back to grasp your heels."
19,Marjarasana,Both,Easy,"Start on your hands and knees. On an exhale, round your spine upward by tucking your chin toward your chest and drawing your belly in, creating a gentle arch in your back."
20,Bitilasana,Both,Easy,"From a hands-and-knees position, inhale and drop your belly toward the mat while lifting your head and tailbone upward to form a gentle arch in your spine."
21,Adho Mukha Shvanasana,Both,Moderate,"Begin on your hands and knees, then lift your hips upward and back, extending your legs to form an inverted V-shape. Press firmly into the mat with both hands."
22,Urdhva Mukha Shvanasana,Both,Intermediate,"Lie on your stomach. Place your palms flat on the mat beside your ribs. On an inhale, press into your hands, straightening your arms fully to lift your chest high while keeping your pelvis and legs grounded. Let your shoulders roll slightly back."
23,Phalakasana,Both,Moderate,Begin in a push-up position with your hands directly under your shoulders and legs extended back. Keep your body in a straight line from head to heels.
24,Chaturanga Dandasana,Both,Intermediate,"Start in a high plank position. Slowly lower your body by bending your elbows, keeping them tucked close to your sides, until your upper arms are parallel to the floor."
25,Sirsasana,Both,Advanced,"Interlace your fingers and place your forearms on the mat to form a stable base. Rest the crown of your head on the mat between your hands and gradually lift your legs, extending them upward into an inversion."
26,Sarvangasana,Both,Advanced,"Lie on your back, then lift your legs and hips by supporting your lower back with your hands and your shoulders on the mat. Hold the pose steadily."
27,Halasana,Both,Advanced,"From Sarvangasana, slowly lower your legs over your head until your toes (or feet) gently touch the floor behind you, keeping your back flat and your shoulders stable."
28,Karnapidasana,Both,Advanced,"From Halasana, gently bring your knees down toward your ears, pressing them softly against your head while keeping your back on the mat."
29,Viparita Karani,Both,Easy,"Sit next to a wall and lie on your back, then extend your legs up along the wall. Relax your arms at your sides."
30,Shavasana,Both,Easy,Lie flat on your back with your arms comfortably at your sides and legs slightly apart. Close your eyes and allow your body to relax completely.
31,Bakasana,Both,Advanced,"Squat down and place your hands firmly on the mat in front of you. Lean forward, shifting your weight onto your hands while tucking your knees onto the backs of your upper arms. Gradually lift your feet off the ground to balance."
32,Tolasana,Both,Advanced,"From a low squat, place your hands on the mat in front of you. Lean forward and shift your weight onto your hands, then carefully extend your legs behind you so that your body forms a horizontal line."
33,Mayurasana,Both,Expert,Place your hands on the mat with fingers spread wide. Lean forward and balance your body on your forearms while lifting your legs so that your torso is parallel to the floor.
34,Pincha Mayurasana,Both,Expert,Kneel on the mat and place your forearms on the floor with fingers interlaced. Lift your hips and gradually extend your legs upward to enter a forearm stand.
35,Adho Mukha Vrksasana,Both,Expert,Start in a downward dog pose. Gradually shift your weight forward and kick up into a handstand. Extend your legs fully upward while keeping your arms straight and your core engaged.
36,Kurmasana,Both,Advanced,"Sit with your legs extended and slightly apart. Inhale to lengthen the spine, then exhale as you fold forward slowly, sliding your arms underneath your legs until your forehead nearly touches the floor. Tuck your head and relax your shoulders."
37,Upavistha Konasana,Both,Intermediate,"Sit on the floor with your legs spread wide apart. Keep your back straight and hinge forward from the hips, reaching your hands toward your feet or the floor."
38,Padahastasana,Both,Moderate,"Stand with your feet together or slightly apart. Hinge at the hips and fold forward, reaching down to grasp your feet or ankles while keeping the spine long and controlled."
39,Uttana Padasana,Both,Intermediate,Stand upright with your feet together. Hinge at the hips and extend one leg forward while reaching down with both hands to grasp the extended foot. Keep the spine elongated and the supporting leg engaged. Alternate sides as needed.
40,Paschimottanasana,Both,Moderate,"Sit on the floor with your legs extended straight in front of you. Inhale to lengthen your spine, then exhale as you fold forward from the hips, reaching toward your feet while keeping the back as straight as possible."
41,Trikonasana,Right,Moderate,"Stand with feet wide apart; position the right foot forward and the left foot turned slightly outward. Extend your arms horizontally, then hinge at the hip to lower your right hand onto your right shin or a block while extending your left arm upward. Rotate your torso gently and gaze upward toward your left hand."
42,Trikonasana,Left,Moderate,"Stand with feet wide apart; position the left foot forward and the right foot turned slightly outward. Extend your arms horizontally, then hinge at the hip to lower your left hand onto your left shin or a block while extending your right arm upward. Gently rotate your torso and gaze upward toward your right hand."
43,Parivritta Trikonasana,Right,Intermediate,"Stand with the right foot forward and the left foot turned out. Rotate your torso to the right, reaching your left hand toward the outer edge of your right foot (or a block) while extending your right arm upward. Initiate the twist from the hips."
44,Parivritta Trikonasana,Left,Intermediate,"Stand with the left foot forward and the right foot turned out. Rotate your torso to the left, reaching your right hand toward the outer edge of your left foot (or a block) while extending your left arm upward. Initiate the twist from the hips."
45,Virabhadrasana I,Right,Moderate,"Stand with your right foot forward and left foot turned slightly out. Bend your right knee so it is directly above your ankle while keeping the left leg straight and strong. Raise your arms overhead, square your hips forward, and maintain an upright posture."
46,Virabhadrasana I,Left,Moderate,"Stand with your left foot forward and right foot back. Bend the left knee so it is directly above the ankle, square your hips forward, and raise your arms overhead with palms facing each other. Gaze upward."
47,Virabhadrasana II,Right,Moderate,Stand with your right foot forward and left foot turned out. Bend the right knee so it is directly above the ankle. Extend your arms horizontally—with the right arm forward and the left arm back—and gaze over the right hand.
48,Virabhadrasana II,Left,Moderate,Stand with your left foot forward and right foot turned out. Bend the left knee so it is directly above the ankle. Extend your arms horizontally—with the left arm forward and the right arm back—and gaze over the left hand.
49,Virabhadrasana III,Right,Intermediate,"Shift your weight onto your right leg. Hinge forward at the hips while extending your left leg back and reaching your arms forward, forming a straight line from your head to the extended left foot."
50,Virabhadrasana III,Left,Intermediate,"Shift your weight onto your left leg. Hinge forward at the hips while extending your right leg back and reaching your arms forward, creating a straight line from your head to the extended right foot."
51,Ardha Chandrasana,Right,Intermediate,"From Tadasana, shift your weight onto the right leg. Extend the left leg straight out to the side. Hinge at the right hip and lean toward the right, simultaneously raising the right arm straight upward while the left arm may rest lightly on the right leg or on a block."
52,Ardha Chandrasana,Left,Intermediate,"Begin in Tadasana, then shift your weight onto the left leg. Extend the right leg straight out to the side. Hinge at the left hip to lean toward the left, lifting the left arm straight upward while the right arm rests along the right leg or on a block."
53,Parsvakonasana,Right,Moderate,"Stand with your feet wide apart. Place the right foot forward and bend the right knee, keeping it aligned over the ankle. Extend the right arm upward and lower the right hand to the outer edge of the right foot (or a block) while the left arm extends overhead toward the back."
54,Parsvakonasana,Left,Moderate,"Stand with your feet wide apart. Position the left foot forward, bending the left knee so it stays over the ankle. Lower the left hand onto the outer edge of the left foot (or a block) while extending the right arm upward over the back."
55,Parivritta Parsvakonasana,Right,Intermediate,"From a right Parsvakonasana, rotate your torso further by bringing your left hand across to the outside of your right foot (or to a block) while extending your right arm upward. Initiate the twist from the hips while keeping the right knee bent."
56,Parivritta Parsvakonasana,Left,Intermediate,Stand with your left foot forward and right foot turned out. Bend the left knee while keeping the right leg straight. Rotate your torso to the left by bringing your right hand across to the outer edge of your left foot (or to a block) while extending your left arm upward. Initiate the twist from the hips.
57,Parighasana,Right,Moderate,"Stand with your feet together or slightly apart. Inhale to raise your right arm overhead, then exhale and lean to the right, allowing the right side of your body to lengthen. Let your right arm extend upward while your left hand rests by your side or lightly on your hip."
58,Parighasana,Left,Moderate,"Stand with your feet together or slightly apart. Inhale to raise your left arm overhead, then exhale and lean to the left, allowing the left side of your body to lengthen. Let your left arm extend upward while your right hand rests by your side or on your hip."
59,Anjaneyasana,Right,Moderate,"Step forward with your right foot into a lunge, keeping the left knee on the mat. Ensure your right knee is directly above your ankle. Inhale, raise your arms overhead, and gently arch the upper body while keeping the hips squared."
60,Anjaneyasana,Left,Moderate,"Step forward with your left foot into a lunge, keeping the right knee on the mat. Ensure your left knee is directly above your ankle. Inhale, raise your arms overhead, and gently arch the upper body while keeping the hips squared."
