User Posture Problem,,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture,Slumped Sitting Posture + Forward Head Posture,Slumped Sitting Posture + Rounded Shoulders,Slumped Sitting Posture + Kyphosis,Slumped Sitting Posture + Pelvic Tilt,Slumped Sitting Posture + Lordosis,Slumped Sitting Posture + Scoliosis,Slumped Sitting Posture + Text Neck,Slumped Sitting Posture + Flat Back Syndrome,Slumped Sitting Posture + Hyperlordosis,Slumped Sitting Posture + Kyphosis,Slumped Sitting Posture + Forward Head Posture + Kyphosis,Slumped Sitting Posture + Rounded Shoulders + Scoliosis,Slumped Sitting Posture + Pelvic Tilt + Lordosis,Slumped Sitting Posture + Kyphosis + Flat Back Syndrome,Slumped Sitting Posture + Forward Head Posture + Text Neck,Slumped Sitting Posture + Rounded Shoulders + Hyperlordosis,Slumped Sitting Posture + Scoliosis + Pelvic Tilt,Slumped Sitting Posture + Kyphosis + Forward Head Posture,Slumped Sitting Posture + Lordosis + Rounded Shoulders,Slumped Sitting Posture
user_notes,112,"Mild Slumped Sitting, symmetric","Mild Slumped Sitting, symmetric","Moderate Slumped Sitting, asymmetric left","Mild Slumped Sitting, symmetric","Mild Slumped Sitting, symmetric","Moderate Slumped Sitting, asymmetric right","Mild Slumped Sitting, symmetric","Severe Slumped Sitting, symmetric","Mild Slumped Sitting, symmetric","Mild Slumped Sitting, symmetric","Moderate Slumped Sitting + Forward Head, symmetric","Moderate Slumped Sitting + Rounded Shoulders, symmetric","Moderate Slumped Sitting + Kyphosis, symmetric","Mild Slumped Sitting + Pelvic Tilt (anterior), symmetric","Moderate Slumped Sitting + Lordosis, symmetric","Moderate Slumped Sitting + Scoliosis (right curve), asymmetric right","Moderate Slumped Sitting + Text Neck, symmetric","Mild Slumped Sitting + Flat Back, symmetric","Moderate Slumped Sitting + Hyperlordosis, symmetric","Mild Slumped Sitting + Kyphosis, symmetric","Severe Slumped Sitting + Forward Head + Kyphosis, symmetric","Severe Slumped Sitting + Rounded Shoulders + Scoliosis (right curve), asymmetric right","Moderate Slumped Sitting + Pelvic Tilt (anterior) + Lordosis, symmetric","Mild Slumped Sitting + Kyphosis + Flat Back, symmetric","Severe Slumped Sitting + Forward Head + Text Neck, symmetric","Moderate Slumped Sitting + Rounded Shoulders + Hyperlordosis, symmetric","Severe Slumped Sitting + Scoliosis (right curve) + Pelvic Tilt (anterior), asymmetric right","Moderate Slumped Sitting + Kyphosis + Forward Head, symmetric","Severe Slumped Sitting + Lordosis + Rounded Shoulders, symmetric","Moderate Slumped Sitting, asymmetric right"
User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,7
Question ID,AnswerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,6
l_tmj_tension,1,-2,0,-3,0,-1,-2,0,-4,0,-1,-5,0,-2,0,-1,0,-3,0,-1,-2,-6,0,-1,-2,-4,0,-2,-3,-5,-2
r_tmj_tension,2,-2,0,-1,0,-1,-3,0,-2,0,-1,-5,0,-2,0,-1,0,-3,0,-1,-2,-6,0,-1,-2,-4,0,-2,-3,-5,-3
l_jaw_position,3,2,0,3,0,1,2,0,4,0,1,5,0,2,0,1,0,3,0,1,2,6,0,1,2,4,0,2,3,5,2
r_jaw_position,4,2,0,1,0,1,3,0,2,0,1,5,0,2,0,1,0,3,0,1,2,6,0,1,2,4,0,2,3,5,3
l_head_weight,5,1,0,2,0,0,1,0,3,0,0,3,1,2,0,0,1,2,0,0,2,4,1,0,2,3,1,2,2,3,1
r_head_weight,6,1,0,0,0,0,2,0,1,0,0,3,1,2,0,0,0,2,0,0,2,4,0,0,2,3,0,2,2,3,2
head_tilt_sagittal,7,3,2,4,2,1,3,2,5,3,2,6,4,5,2,2,3,5,2,2,4,7,3,2,4,6,3,4,4,6,3
l_ear_shoulder,8,3,2,4,2,1,3,2,5,3,2,6,4,5,2,2,3,5,2,2,5,7,4,2,5,6,4,5,5,6,3
r_ear_shoulder,9,3,2,2,2,1,4,2,3,3,2,6,4,5,2,2,2,5,2,2,5,7,3,2,5,6,3,5,5,6,4
l_neck_tilt,10,-2,0,-3,0,-1,-2,0,-4,0,-1,-5,-2,-3,0,-1,-2,-3,0,-1,-3,-6,-2,-1,-3,-4,-2,-3,-3,-5,-2
r_neck_tilt,11,-2,0,-1,0,-1,-3,0,-2,0,-1,-5,-2,-3,0,-1,0,-3,0,-1,-3,-6,-1,-1,-3,-4,-1,-3,-3,-5,-3
l_neck_rotation,12,-2,0,-3,0,-1,-2,0,-4,0,-1,-5,-2,-3,0,-1,-2,-4,0,-1,-4,-6,-2,-1,-4,-5,-2,-3,-3,-5,-2
r_neck_rotation,13,-2,0,-1,0,-1,-3,0,-2,0,-1,-5,-2,-3,0,-1,-1,-4,0,-1,-4,-6,-1,-1,-4,-5,-1,-3,-3,-5,-3
neck_forward,14,3,2,4,2,1,3,2,5,3,2,6,4,5,2,2,3,6,2,2,5,7,4,2,6,7,4,5,5,7,3
l_shoulder_height,15,0,0,1,0,0,0,0,2,0,0,1,2,2,0,0,1,1,0,0,2,3,2,0,2,2,2,2,2,2,0
r_shoulder_height,16,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,2,3,1,0,2,2,1,2,2,2,1
l_shoulder_forward,17,3,2,4,2,1,3,2,5,3,2,4,5,4,2,2,3,4,2,2,5,6,5,2,5,6,5,5,5,6,3
r_shoulder_forward,18,3,2,2,2,1,4,2,3,3,2,4,5,4,2,2,2,4,2,2,5,6,4,2,5,6,4,5,5,6,4
l_scapula_position,19,2,1,3,1,0,2,1,4,2,1,3,4,3,1,1,2,3,1,1,4,5,4,1,4,5,4,4,4,5,2
r_scapula_position,20,2,1,1,1,0,3,1,2,2,1,3,4,3,1,1,1,3,1,1,4,5,3,1,4,5,3,4,4,5,3
l_scapula_winging,21,1,0,2,0,0,1,0,3,1,0,2,3,2,0,0,1,2,0,0,3,4,3,0,3,4,3,3,3,4,1
r_scapula_winging,22,1,0,0,0,0,2,0,1,1,0,2,3,2,0,0,0,2,0,0,3,4,2,0,3,4,2,3,3,4,2
l_pec_tension,23,-3,-2,-4,-2,-1,-3,-2,-5,-3,-2,-4,-5,-4,-2,-2,-3,-4,-2,-2,-5,-6,-5,-2,-5,-6,-5,-5,-5,-6,-3
r_pec_tension,24,-3,-2,-2,-2,-1,-4,-2,-3,-3,-2,-4,-5,-4,-2,-2,-2,-4,-2,-2,-5,-6,-4,-2,-5,-6,-4,-5,-5,-6,-4
l_ribcage_position,25,0,0,1,0,0,0,0,2,0,0,1,2,2,0,0,1,1,0,0,2,3,2,0,2,2,2,2,2,2,0
r_ribcage_position,26,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,2,3,1,0,2,2,1,2,2,2,1
l_breathing_pattern,27,-2,0,-3,0,-1,-2,0,-4,0,-1,-3,-4,-3,0,-1,-2,-3,0,-1,-4,-5,-3,0,-4,-4,-3,-3,-3,-5,-2
r_breathing_pattern,28,-2,0,-1,0,-1,-3,0,-2,0,-1,-3,-4,-3,0,-1,-1,-3,0,-1,-4,-5,-2,0,-4,-4,-2,-3,-3,-5,-3
l_thoracic_rotation,29,-2,0,-3,0,-1,-2,0,-4,0,-1,-4,-4,-5,0,-1,-2,-3,0,-1,-5,-6,-3,0,-5,-5,-3,-4,-4,-6,-2
r_thoracic_rotation,30,-2,0,-1,0,-1,-3,0,-2,0,-1,-4,-4,-5,0,-1,-1,-3,0,-1,-5,-6,-2,0,-5,-5,-2,-4,-4,-6,-3
l_thoracic_tension,31,-3,-2,-4,-2,-1,-3,-2,-5,-3,-2,-4,-5,-5,-2,-2,-3,-4,-2,-2,-6,-7,-5,-2,-6,-6,-5,-5,-5,-7,-3
r_thoracic_tension,32,-3,-2,-2,-2,-1,-4,-2,-3,-3,-2,-4,-5,-5,-2,-2,-2,-4,-2,-2,-6,-7,-4,-2,-6,-6,-4,-5,-5,-7,-4
l_thoracic_flexibility,33,-2,0,-3,0,-1,-2,0,-4,0,-1,-4,-5,-5,0,-1,-2,-3,0,-1,-6,-7,-4,0,-6,-6,-4,-5,-5,-7,-2
r_thoracic_flexibility,34,-2,0,-1,0,-1,-3,0,-2,0,-1,-4,-5,-5,0,-1,-1,-3,0,-1,-6,-7,-3,0,-6,-6,-3,-5,-5,-7,-3
thoracic_curve,35,4,3,5,3,2,4,3,6,4,3,5,6,7,3,3,4,5,3,3,7,8,6,3,7,7,6,7,7,8,4
spine_curve_coronal,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,6,0,0,0
l_lumbar_tension,37,-2,0,-3,0,-1,-2,0,-4,0,-1,-2,-3,-3,4,-4,-3,-2,0,5,-3,-4,-4,5,-2,-3,-4,-3,-5,-3,-2
