Posture Problem,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis,Lordosis + Kyphosis,Lordosis + Scoliosis (Right),Lordosis + Forward Head Posture,Lordosis + Rounded Shoulders,Lordosis + Text Neck,Lordosis + Pelvic Tilt (Anterior),Lordosis + Pelvic Tilt (Posterior),Hyperlordosis,Lordosis + Slumped Sitting Posture,Lordosis + Kyphosis,Lordosis + Kyphosis + Scoliosis,Lordosis + Forward Head Posture + Rounded Shoulders,Lordosis + Text Neck + Pelvic Tilt (Anterior),Hyperlordosis + Kyphosis,Lordosis + Scoliosis (Left) + Rounded Shoulders,Lordosis + Forward Head Posture + Text Neck,Lordosis + Pelvic Tilt (Anterior) + Slumped Sitting Posture,Lordosis + Kyphosis + Forward Head Posture,Lordosis + Scoliosis (Right) + Pelvic Tilt (Posterior),Hyperlordosis + Rounded Shoulders + Text Neck,
User Notes,"Lordosis, symmetric","Lordosis, symmetric","Lordosis, symmetric","Lordosis, symmetric","Lordosis, symmetric","Lordosis, asymmetric shoulders (left higher)","Lordosis, asymmetric hips (right higher)","Lordosis, asymmetric ribcage (left higher)","Lordosis, asymmetric neck tilt (tilts to right)","Lordosis, asymmetric foot pressure (more on left)","Lordosis + Kyphosis, symmetric","Lordosis + Scoliosis (Right), asymmetric","Lordosis + Forward Head Posture, symmetric","Lordosis + Rounded Shoulders, symmetric","Lordosis + Text Neck, symmetric","Lordosis + Pelvic Tilt (Anterior), asymmetric (left hip more forward)","Lordosis + Pelvic Tilt (Posterior), asymmetric (right hip more back)","Hyperlordosis, symmetric","Lordosis + Slumped Sitting Posture, asymmetric (leans to left)","Lordosis + Kyphosis, asymmetric (more pronounced on right)","Lordosis + Kyphosis + Scoliosis, symmetric","Lordosis + Forward Head Posture + Rounded Shoulders, symmetric","Lordosis + Text Neck + Pelvic Tilt (Anterior), symmetric","Hyperlordosis + Kyphosis, symmetric","Lordosis + Scoliosis (Left) + Rounded Shoulders, symmetric","Lordosis + Forward Head Posture + Text Neck, asymmetric (neck more to left)","Lordosis + Pelvic Tilt (Anterior) + Slumped Sitting Posture, asymmetric (sits more on right)","Lordosis + Kyphosis + Forward Head Posture, symmetric","Lordosis + Scoliosis (Right) + Pelvic Tilt (Posterior), asymmetric (scoliosis more pronounced)","Hyperlordosis + Rounded Shoulders + Text Neck, symmetric",
User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
Question ID,Answer ID, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
l_tmj_tension,1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,0
r_tmj_tension,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
l_jaw_position,3,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_jaw_position,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_head_weight,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r_head_weight,6,0,0,0,0,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
