,Posture Problem,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP only,FHP + Kyphosis,FHP + Rounded Shoulders,FHP + Text Neck,FHP + Pelvic Tilt (anterior),FHP + Scoliosis,FHP + Flat Back Syndrome,FHP + Hyperlordosis,FHP + Slumped Sitting Posture,FHP + Lordosis,FHP + Rounded Shoulders,FHP + Kyphosis + Scoliosis,FHP + Rounded Shoulders + Text Neck,FHP + Pelvic Tilt + Flat Back Syndrome,FHP + Scoliosis + Hyperlordosis,FHP + Text Neck + Slumped Sitting Posture,FHP + Kyphosis + Rounded Shoulders,FHP + Pelvic Tilt + Lordosis,FHP + Flat Back Syndrome + Scoliosis,FHP + Hyperlordosis + Text Neck,FHP + Slumped Sitting Posture + Kyphosis
user_notes,112,"Mild FHP, symmetric","Mild FHP, symmetric","Mild FHP, symmetric","Mild FHP, symmetric","Mild FHP, symmetric","Moderate FHP, asymmetric (left shoulder/hip lower)","Moderate FHP, asymmetric (right shoulder/hip lower)","Moderate FHP, asymmetric (right shoulder/hip higher)","Severe FHP, asymmetric (left shoulder/hip lower)","Severe FHP, asymmetric (right shoulder/hip higher)","Mild FHP + Kyphosis, symmetric","Mild FHP + Rounded Shoulders, symmetric","Mild FHP + Text Neck, asymmetric (left neck tighter)","Mild FHP + Pelvic Tilt (anterior), symmetric","Mild FHP + Scoliosis (right curve), asymmetric","Moderate FHP + Flat Back Syndrome, asymmetric (left hip lower)","Moderate FHP + Hyperlordosis, symmetric","Moderate FHP + Slumped Sitting Posture, symmetric","Severe FHP + Lordosis, symmetric","Severe FHP + Rounded Shoulders, symmetric","Mild FHP + Kyphosis + Scoliosis (right curve), asymmetric","Mild FHP + Rounded Shoulders + Text Neck, symmetric","Mild FHP + Pelvic Tilt + Flat Back Syndrome, asymmetric (left hip forward)","Mild FHP + Scoliosis + Hyperlordosis, asymmetric (right curve)","Mild FHP + Text Neck + Slumped Sitting Posture, symmetric","Moderate FHP + Kyphosis + Rounded Shoulders, symmetric","Moderate FHP + Pelvic Tilt + Lordosis, symmetric","Moderate FHP + Flat Back Syndrome + Scoliosis, asymmetric (left curve)","Severe FHP + Hyperlordosis + Text Neck, symmetric","Severe FHP + Slumped Sitting Posture + Kyphosis, symmetric"
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Question ID,Answer ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
l_tmj_tension,1,0,0,0,0,0,-2,-2,0,-3,-3,-2,0,-2,-3,-2,-3,-2,0,-2,-2,-3,0,-2,-3,-3,-3,-2,-2,0,-3
r_tmj_tension,2,0,0,0,0,0,-2,0,-2,-3,-3,-2,0,0,-3,-2,-3,-2,0,-2,0,-3,0,0,-3,-3,-3,-2,-2,0,-3
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
l_head_weight,5,0,0,0,0,0,-2,2,0,-3,3,0,0,2,2,0,-2,0,0,0,2,2,2,2,2,0,-2,0,0,0,2
r_head_weight,6,0,0,0,0,0,2,0,2,3,-3,0,0,-2,2,0,2,0,0,0,-2,-2,2,-2,2,0,2,0,0,0,-2
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,3,0,0,0,2
l_ear_shoulder,8,-2,-2,-2,-2,-2,-3,-3,-3,-5,-5,-2,-2,-2,-5,-2,-5,-2,-2,-2,-2,-2,-5,-2,-5,-5,-5,-2,-2,-2,-5
r_ear_shoulder,9,-2,-2,-2,-2,-2,-3,-3,-3,-5,-5,-2,-2,-2,-5,-2,-5,-2,-2,-2,-2,-2,-5,-2,-5,-5,-5,-2,-2,-2,-5
l_neck_tilt,10,0,0,0,0,0,-2,2,0,-3,3,-2,0,2,-3,-2,-3,0,0,0,2,-2,-3,2,-3,-3,-3,0,0,0,-3
r_neck_tilt,11,0,0,0,0,0,2,0,2,3,-3,-2,0,-2,-3,-2,-3,0,0,0,-2,-2,-3,-2,-3,-3,-3,0,0,0,-3
l_neck_rotation,12,0,0,0,0,0,-2,0,0,-3,-3,-2,0,0,-3,-2,-3,0,0,0,0,-2,-3,0,-3,-3,-3,0,0,0,-3
r_neck_rotation,13,0,0,0,0,0,0,-2,0,-3,-3,-2,0,0,-3,-2,-3,0,0,0,0,-2,-3,0,-3,-3,-3,0,0,0,-3
neck_forward,14,2,2,2,2,2,3,3,3,5,5,2,2,2,5,2,5,2,2,2,2,2,5,2,5,5,5,2,2,2,5
l_shoulder_height,15,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_shoulder_height,16,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_shoulder_forward,17,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,0,0,2,2,0,0,0,2
r_shoulder_forward,18,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,0,0,2,2,0,0,0,2
l_scapula_position,19,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,0,0,2,2,0,0,0,2
r_scapula_position,20,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,0,0,2,2,0,0,0,2
l_scapula_winging,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_scapula_winging,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_pec_tension,23,0,0,0,0,0,-2,0,0,-3,-3,-2,-2,0,0,-2,0,0,-2,0,-2,-2,-2,0,0,-2,-2,0,0,0,-2
r_pec_tension,24,0,0,0,0,0,0,-2,0,-3,-3,-2,-2,0,0,-2,0,0,-2,0,-2,-2,-2,0,0,-2,-2,0,0,0,-2
l_ribcage_position,25,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_ribcage_position,26,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_breathing_pattern,27,0,0,0,0,0,-2,0,0,-3,-3,-2,0,2,0,0,-2,0,0,0,2,-2,0,2,0,0,-2,0,0,0,2
r_breathing_pattern,28,0,0,0,0,0,0,-2,0,-3,-3,-2,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_thoracic_rotation,29,0,0,0,0,0,-2,0,0,-3,-3,-2,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0
r_thoracic_rotation,30,0,0,0,0,0,0,-2,0,-3,-3,-2,0,0,0,0,2,0,0,0,0,-2,0,0,0,0,2,0,0,0,0
l_thoracic_tension,31,0,0,0,0,0,-2,0,0,-3,-3,-2,0,2,0,0,-2,0,0,0,2,-2,0,2,0,0,-2,0,0,0,2
r_thoracic_tension,32,0,0,0,0,0,0,-2,0,-3,-3,-2,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_thoracic_flexibility,33,0,0,0,0,0,-2,0,0,-3,-3,-2,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0
r_thoracic_flexibility,34,0,0,0,0,0,0,-2,0,-3,-3,-2,0,0,0,0,2,0,0,0,0,-2,0,0,0,0,2,0,0,0,0
thoracic_curve,35,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,-2,0,2,0,2,5,2,0,0,2,5,0,-2,0,3
spine_curve_coronal,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,5,0,0,0,3,0,0
l_lumbar_tension,37,0,0,0,0,0,-2,2,0,-3,3,0,0,0,0,0,-2,2,0,2,0,0,0,0,2,0,0,2,-2,2,0
r_lumbar_tension,38,0,0,0,0,0,2,0,2,3,-3,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,-2,2,0
l_lumbar_rotation,39,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_lumbar_rotation,40,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_lumbar_sidebend,41,0,0,0,0,0,-2,0,0,-3,-3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_lumbar_sidebend,42,0,0,0,0,0,0,-2,0,-3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
lumbar_curve,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,0,2,0,0,0,-2,3,0,0,2,-2,3,0
l_upper_abs,44,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_upper_abs,45,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_lower_abs,46,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_lower_abs,47,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_obliques,48,0,0,0,0,0,-2,0,0,-3,-3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_obliques,49,0,0,0,0,0,0,-2,0,-3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_si_joint,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_si_joint,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_psis_height,52,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_psis_height,53,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_asis_height,54,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,2,0,0,2,2,0,2,2,0,-2,2,0,0,2
