,Posture Problem,Pelvic Tilt (anterior mild symmetric),Pelvic Tilt (posterior mild symmetric),Pelvic Tilt (anterior mild symmetric),Pelvic Tilt (anterior moderate symmetric),Pelvic Tilt (anterior severe symmetric),Pelvic Tilt (anterior mild asymmetric left),Pelvic Tilt (posterior moderate asymmetric right),Pelvic Tilt (anterior severe asymmetric left),Pelvic Tilt (anterior moderate asymmetric right),Pelvic Tilt (posterior mild symmetric),Pelvic Tilt + Lordosis (mild symmetric),Pelvic Tilt + Forward Head Posture (mild symmetric),Pelvic Tilt + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Kyphosis (severe symmetric),Pelvic Tilt + Scoliosis (mild asymmetric left),Pelvic Tilt + Flat Back Syndrome (moderate symmetric),Pelvic Tilt + Text Neck (mild asymmetric right),Pelvic Tilt + Hyperlordosis (severe symmetric),Pelvic Tilt + Slumped Sitting Posture (moderate asymmetric left),Pelvic Tilt + Scoliosis (mild symmetric),Pelvic Tilt + Lordosis + Forward Head Posture (mild symmetric),Pelvic Tilt + Kyphosis + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Scoliosis + Flat Back Syndrome (severe asymmetric left),Pelvic Tilt + Forward Head Posture + Text Neck (mild symmetric),Pelvic Tilt + Rounded Shoulders + Slumped Sitting Posture (moderate asymmetric right),Pelvic Tilt + Lordosis + Scoliosis (mild asymmetric left),Pelvic Tilt + Kyphosis + Forward Head Posture (severe symmetric),Pelvic Tilt + Flat Back Syndrome + Rounded Shoulders (moderate symmetric),Pelvic Tilt + Hyperlordosis + Text Neck (severe asymmetric right),Pelvic Tilt + Slumped Sitting Posture + Scoliosis (mild symmetric)
user_notes,112,"Mild anterior Pelvic Tilt, symmetric","Mild posterior Pelvic Tilt, symmetric","Mild anterior Pelvic Tilt, symmetric","Moderate anterior Pelvic Tilt, symmetric","Severe anterior Pelvic Tilt, symmetric","Mild anterior Pelvic Tilt, asymmetric to left","Moderate posterior Pelvic Tilt, asymmetric to right","Severe anterior Pelvic Tilt, asymmetric to left","Moderate anterior Pelvic Tilt, asymmetric to right","Mild posterior Pelvic Tilt, symmetric","Mild anterior Pelvic Tilt + mild Lordosis, symmetric","Mild anterior Pelvic Tilt + mild Forward Head Posture, symmetric","Moderate anterior Pelvic Tilt + moderate Rounded Shoulders, symmetric","Severe anterior Pelvic Tilt + severe Kyphosis, symmetric","Mild anterior Pelvic Tilt + mild Scoliosis, asymmetric to left","Moderate anterior Pelvic Tilt + moderate Flat Back Syndrome, symmetric","Mild anterior Pelvic Tilt + mild Text Neck, asymmetric to right","Severe anterior Pelvic Tilt + severe Hyperlordosis, symmetric","Moderate anterior Pelvic Tilt + moderate Slumped Sitting Posture, asymmetric to left","Mild anterior Pelvic Tilt + mild Scoliosis, symmetric","Mild anterior Pelvic Tilt + mild Lordosis + mild Forward Head Posture, symmetric","Moderate anterior Pelvic Tilt + moderate Kyphosis + moderate Rounded Shoulders, symmetric","Severe anterior Pelvic Tilt + severe Scoliosis + severe Flat Back Syndrome, asymmetric to left","Mild anterior Pelvic Tilt + mild Forward Head Posture + mild Text Neck, symmetric","Moderate anterior Pelvic Tilt + moderate Rounded Shoulders + moderate Slumped Sitting Posture, asymmetric to right","Mild anterior Pelvic Tilt + mild Lordosis + mild Scoliosis, asymmetric to left","Severe anterior Pelvic Tilt + severe Kyphosis + severe Forward Head Posture, symmetric","Moderate anterior Pelvic Tilt + moderate Flat Back Syndrome + moderate Rounded Shoulders, symmetric","Severe anterior Pelvic Tilt + severe Hyperlordosis + severe Text Neck, asymmetric to right","Mild anterior Pelvic Tilt + mild Slumped Sitting Posture + mild Scoliosis, symmetric"
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
l_tmj_tension,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,-2,0,0,0,0,-2,0
r_tmj_tension,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,-2,0,0,0,0,-2,0
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0
l_head_weight,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,2,0,1,0,0,2,0
r_head_weight,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,1,0,-1,2,0,-1,0,0,2,0
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,0,0,-3,0,0,0,0,-3,0
l_ear_shoulder,8,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,-2,0,0,0,-2,0,1,-3,0,1,0,0,-3,0
r_ear_shoulder,9,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,-2,0,0,0,-2,0,-1,-3,0,-1,0,0,-3,0
l_neck_tilt,10,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,-2,0,0,0,-2,0,1,-3,0,1,0,0,-3,0
r_neck_tilt,11,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,-2,0,0,0,-2,0,-1,-3,0,-1,0,0,-3,0
l_neck_rotation,12,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,-1,0,1,-2,0,1,0,0,-2,0
r_neck_rotation,13,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-2,0,-1,0,0,-2,0
neck_forward,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,3,0
l_shoulder_height,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
r_shoulder_height,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
l_shoulder_forward,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0
r_shoulder_forward,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0
l_scapula_position,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
r_scapula_position,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
l_scapula_winging,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
r_scapula_winging,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
l_pec_tension,23,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,-3,0,0
r_pec_tension,24,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,-3,0,0
l_ribcage_position,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
r_ribcage_position,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
l_breathing_pattern,27,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,-2,0,0
r_breathing_pattern,28,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,-2,0,0
l_thoracic_rotation,29,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,1,-2,0,0,0,0,0,-3,1,-2,-3,1,-4,-3,0,0
r_thoracic_rotation,30,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-1,-2,0,0,0,0,0,-3,-1,-2,-3,-1,-4,-3,0,0
l_thoracic_tension,31,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,1,-2,0,0,0,0,0,-3,1,-2,-3,1,-5,-3,0,0
r_thoracic_tension,32,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-1,-2,0,0,0,0,0,-3,-1,-2,-3,-1,-5,-3,0,0
l_thoracic_flexibility,33,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,1,-2,0,0,0,0,0,-3,1,-2,-3,1,-5,-3,0,0
r_thoracic_flexibility,34,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-1,-2,0,0,0,0,0,-3,-1,-2,-3,-1,-5,-3,0,0
thoracic_curve,35,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,5,0,0,4,0,7,4,0,0
spine_curve_coronal,36,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,5,0,0,3,0,0,0,2
l_lumbar_tension,37,-2,2,-2,-4,-7,-3,2,-8,-4,2,-3,-2,-4,-7,1,-4,-2,-8,-5,-2,-3,-5,1,-2,-5,1,-7,-5,-8,-2
r_lumbar_tension,38,-2,2,-2,-4,-7,-1,4,-6,-5,2,-3,-2,-4,-7,-1,-4,-2,-8,-3,-2,-3,-5,-1,-2,-5,-1,-7,-5,-8,-2
l_lumbar_rotation,39,-1,1,-1,-2,-4,-2,1,-5,-2,1,-2,-1,-2,-4,1,-2,-1,-4,-3,-1,-2,-3,1,-1,-3,1,-4,-3,-4,-1
r_lumbar_rotation,40,-1,1,-1,-2,-4,-1,2,-4,-3,1,-2,-1,-2,-4,-1,-2,-1,-4,-2,-1,-2,-3,-1,-1,-3,-1,-4,-3,-4,-1
l_lumbar_sidebend,41,-1,1,-1,-2,-4,-2,1,-5,-2,1,-2,-1,-2,-4,1,-2,-1,-4,-3,-1,-2,-3,1,-1,-3,1,-4,-3,-4,-1
r_lumbar_sidebend,42,-1,1,-1,-2,-4,-1,2,-4,-3,1,-2,-1,-2,-4,-1,-2,-1,-4,-2,-1,-2,-3,-1,-1,-3,-1,-4,-3,-4,-1
lumbar_curve,43,2,-2,2,4,7,2,-4,7,4,-2,4,2,4,7,0,0,2,9,5,2,4,5,0,2,5,3,7,0,9,2
l_upper_abs,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_upper_abs,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lower_abs,46,0,-1,0,0,0,0,-2,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0
r_lower_abs,47,0,-1,0,0,0,0,-2,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0
l_obliques,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
r_obliques,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
l_si_joint,50,1,-1,1,2,4,2,-1,5,2,-1,2,1,2,4,1,0,1,5,3,1,2,3,0,1,3,1,4,0,5,1
r_si_joint,51,1,-1,1,2,4,1,-2,4,3,-1,2,1,2,4,-1,0,1,5,2,1,2,3,0,1,3,-1,4,0,5,1
l_psis_height,52,0,0,0,0,0,-2,0,-3,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,2,0,0,1,0,0,0,0
r_psis_height,53,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0
l_asis_height,54,0,0,0,0,0,-2,0,-3,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,2,0,0,1,0,0,0,0
r_asis_height,55,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_hip_height,58,0,0,0,0,0,-2,0,-3,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,2,0,0,1,0,0,0,0
r_hip_height,59,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0
l_hip_shift,60,2,-2,2,4,7,3,-2,8,4,-2,3,2,4,7,1,0,2,8,5,2,3,5,0,2,5,1,7,0,8,2
