,Posture Problem,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis + Forward Head Posture,Kyphosis + Rounded Shoulders,Kyphosis + Scoliosis,Kyphosis + Pelvic Tilt (anterior),Kyphosis + Text Neck,Kyphosis + Flat Back Syndrome,Kyphosis + Hyperlordosis,Kyphosis + Slumped Sitting Posture,Kyphosis + Lordosis,Kyphosis + Rounded Shoulders,Kyphosis + Forward Head Posture + Scoliosis,Kyphosis + Rounded Shoulders + Pelvic Tilt,Kyphosis + Scoliosis + Hyperlordosis,Kyphosis + Text Neck + Slumped Sitting Posture,Kyphosis + Forward Head Posture + Rounded Shoulders,Kyphosis + Pelvic Tilt + Lordosis,Kyphosis + Flat Back Syndrome + Scoliosis,Kyphosis + Hyperlordosis + Text Neck,Kyphosis + Slumped Sitting Posture + Kyphosis,Kyphosis + Scoliosis + Forward Head Posture
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
user_notes,112,"Mild Kyphosis, symmetric","Mild Kyphosis, symmetric","Mild Kyphosis, asymmetric (left shoulder more forward)","Moderate Kyphosis, symmetric","Severe Kyphosis, symmetric","Moderate Kyphosis, asymmetric (left shoulder lower)","Moderate Kyphosis, asymmetric (right shoulder lower)","Severe Kyphosis, symmetric","Severe Kyphosis, asymmetric (left shoulder lower)","Severe Kyphosis, asymmetric (right shoulder higher)","Mild Kyphosis + Forward Head Posture, symmetric","Mild Kyphosis + Rounded Shoulders, symmetric","Mild Kyphosis + Scoliosis (right curve), asymmetric","Mild Kyphosis + Pelvic Tilt (anterior), symmetric","Mild Kyphosis + Text Neck, asymmetric (left neck tighter)","Moderate Kyphosis + Flat Back Syndrome, asymmetric (left hip lower)","Moderate Kyphosis + Hyperlordosis, symmetric","Moderate Kyphosis + Slumped Sitting Posture, symmetric","Severe Kyphosis + Lordosis, symmetric","Severe Kyphosis + Rounded Shoulders, symmetric","Mild Kyphosis + Forward Head Posture + Scoliosis (right curve), asymmetric","Mild Kyphosis + Rounded Shoulders + Pelvic Tilt, symmetric","Mild Kyphosis + Scoliosis + Hyperlordosis, asymmetric (right curve)","Mild Kyphosis + Text Neck + Slumped Sitting Posture, symmetric","Mild Kyphosis + Forward Head Posture + Rounded Shoulders, symmetric","Moderate Kyphosis + Pelvic Tilt + Lordosis, symmetric","Moderate Kyphosis + Flat Back Syndrome + Scoliosis, asymmetric (left curve)","Moderate Kyphosis + Hyperlordosis + Text Neck, symmetric","Severe Kyphosis + Slumped Sitting Posture + Kyphosis, symmetric","Severe Kyphosis + Scoliosis + Forward Head Posture, asymmetric"
Question ID,Answer ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
l_tmj_tension,1,0,0,0,0,0,-2,-2,0,-3,-3,-2,0,-2,-3,-2,-3,-2,0,-2,-2,-3,0,-2,-3,-3,-3,-2,-2,0,-3
r_tmj_tension,2,0,0,0,0,0,-2,0,-2,-3,-3,-2,0,0,-3,-2,-3,-2,0,-2,0,-3,0,0,-3,-3,-3,-2,-2,0,-3
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
l_head_weight,5,0,0,0,0,0,-2,2,0,-3,3,0,0,2,2,0,-2,0,0,0,2,2,2,2,2,0,-2,0,0,0,2
r_head_weight,6,0,0,0,0,0,2,0,2,3,-3,0,0,-2,2,0,2,0,0,0,-2,-2,2,-2,2,0,2,0,0,0,-2
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,3,0,0,0,2
