Think how a person with posture problem would answer questions below.

Generate 30 person's response. Simulate their feeling and answer the questions like you have posture problems. Consider human to human variances.

10 person must have only kyphosis.

10 person must have 2 problems combined. ( Pick the combinations freely )

10 person must have 3 problems combined. ( Pick the combinations freely )

Output your reponse as CSV file. Include Question ID's and also answer ID (number).


Posture Problems:
-Kyphosis
This is an excessive outward curvature of the thoracic spine (mid-back), often resulting in a hunched or rounded back appearance.
-Lordosis
Characterized by an exaggerated inward curve of the lumbar spine (lower back), commonly referred to as swayback.
-Scoliosis
A condition where the spine curves sideways in an "S" or "C" shape, affecting its overall alignment.
-Flat Back Syndrome
Occurs when the spine loses its natural curves, becoming abnormally straight, particularly in the lumbar or thoracic regions.
-Forward Head Posture
The head juts forward beyond its neutral position, placing strain on the cervical spine (neck).
-Rounded Shoulders
The shoulders roll forward, often linked to an increased curve in the thoracic spine.
-Text Neck
Similar to forward head posture, this is caused by prolonged looking down at devices, stressing the cervical spine.
-Pelvic Tilt
This can be anterior (tilting forward) or posterior (tilting backward), altering the lumbar spine's alignment.
-Hyperlordosis
An extreme form of lordosis with an excessively pronounced inward lumbar curve.
-Slumped Sitting Posture
A common issue where the entire spine slouches forward during sitting, affecting the cervical, thoracic, and lumbar regions.

QUESTIONS:
question_id,region_id,basic_question,detailed_question,how_to_assess
l_tmj_tension,1,"Left jaw joint tightness?","Checks if the left jaw joint feels squeezed or stiff (-10 = very tight, +10 = very open, 0 = normal).","Gently move your left jaw up and down or side to side. If it feels stuck, pick a negative number. If it feels more open, pick a positive number. Zero is your usual feeling."
r_tmj_tension,1,"Right jaw joint tightness?","Checks if the right jaw joint feels squeezed or stiff (-10 = very tight, +10 = very open, 0 = normal).","Gently move your right jaw up and down or side to side. If it feels stuck, pick a negative number. If it feels more open, pick a positive number. Zero is your usual feeling."
l_jaw_position,1,"Left jaw forward/back?","Looks at whether your left jaw sits behind or ahead of your normal spot (-10 = far back, +10 = far forward, 0 = neutral).","Look at your jaw from the side in a mirror. If it’s pulled way back, go negative. If it’s pushed forward, go positive. Zero is your normal."
r_jaw_position,1,"Right jaw forward/back?","Looks at whether your right jaw sits behind or ahead of your normal spot (-10 = far back, +10 = far forward, 0 = neutral).","Look at your jaw from the side in a mirror. If it’s pulled way back, go negative. If it’s pushed forward, go positive. Zero is your normal."
l_head_weight,1,"Left side head feeling?","Checks if the left side of your head feels lighter or heavier than normal (-10 = very light, +10 = very heavy, 0 = balanced).","Stand or sit up straight. If your head tips left or feels heavier on that side, go positive. If it feels lighter, go negative. Zero is balanced."
r_head_weight,1,"Right side head feeling?","Checks if the right side of your head feels lighter or heavier than normal (-10 = very light, +10 = very heavy, 0 = balanced).","Stand or sit up straight. If your head tips right or feels heavier on that side, go positive. If it feels lighter, go negative. Zero is balanced."
head_tilt_sagittal,1,"Head tilt forward/back?","Checks if you tilt your head forward or backward relative to a neutral spot (-10 = far down, +10 = far up, 0 = neutral).","View your side profile. If you look down more, go negative. If you tilt up, go positive. Zero is level."
l_ear_shoulder,1,"Left ear to shoulder?","Shows if your left ear is in front or behind your shoulder (-10 = far forward, +10 = behind, 0 = lined up).","Look at your left ear from the side. If it’s ahead of your shoulder, go negative. If it’s behind, go positive. Zero means it lines up."
r_ear_shoulder,1,"Right ear to shoulder?","Shows if your right ear is in front or behind your shoulder (-10 = far forward, +10 = behind, 0 = lined up).","Look at your right ear from the side. If it’s ahead of your shoulder, go negative. If it’s behind, go positive. Zero means it lines up."
l_neck_tilt,2,"Left side neck feeling?","Checks how scrunched or stretched the left side of your neck is (-10 = very tight, +10 = very stretched, 0 = normal).","Slowly tilt your head left. If it feels tight, lean negative. If it feels more open, lean positive. Zero is normal tilt."
r_neck_tilt,2,"Right side neck feeling?","Checks how scrunched or stretched the right side of your neck is (-10 = very tight, +10 = very stretched, 0 = normal).","Slowly tilt your head right. If it feels tight, lean negative. If it feels more open, lean positive. Zero is normal tilt."
l_neck_rotation,2,"Left neck turning range?","Checks how easy it is to turn your neck left (-10 = really stuck, +10 = very free, 0 = normal).","Gently turn your head left. If it’s locked up, go negative. If it moves easily, go positive. Zero is usual movement."
r_neck_rotation,2,"Right neck turning range?","Checks how easy it is to turn your neck right (-10 = really stuck, +10 = very free, 0 = normal).","Gently turn your head right. If it’s locked up, go negative. If it moves easily, go positive. Zero is usual movement."
neck_forward,2,"Head forward position?","Looks at how far your head juts forward (-10 = far back, +10 = far forward, 0 = neutral).","Stand sideways to a mirror. If your head is far in front of your shoulders, go positive. If it’s behind, go negative. Zero is lined up."
l_shoulder_height,3,"Left shoulder higher/lower?","Checks if your left shoulder is lower or higher (-10 = very low, +10 = very high, 0 = level).","Face a mirror. If the left shoulder looks lower, go negative. If higher, go positive. Zero means level with the right side."
r_shoulder_height,3,"Right shoulder higher/lower?","Checks if your right shoulder is lower or higher (-10 = very low, +10 = very high, 0 = level).","Face a mirror. If the right shoulder looks lower, go negative. If higher, go positive. Zero means level with the left side."
l_shoulder_forward,3,"Left shoulder forward/back?","Shows if your left shoulder rolls forward or back (-10 = far back, +10 = far forward, 0 = neutral).","Look at the side profile. If the left shoulder is behind your torso, go negative. If it’s ahead, go positive. Zero is neutral."
r_shoulder_forward,3,"Right shoulder forward/back?","Shows if your right shoulder rolls forward or back (-10 = far back, +10 = far forward, 0 = neutral).","Look at the side profile. If the right shoulder is behind your torso, go negative. If it’s ahead, go positive. Zero is neutral."
l_scapula_position,3,"Left shoulder blade out/in?","Checks if your left shoulder blade sticks out or tucks in (-10 = wings out, +10 = pulled in, 0 = usual spot).","Use a mirror or a helper to see your back. If left blade sticks way out, go negative. If pulled in tight, go positive. Zero is typical."
r_scapula_position,3,"Right shoulder blade out/in?","Checks if your right shoulder blade sticks out or tucks in (-10 = wings out, +10 = pulled in, 0 = usual spot).","Use a mirror or a helper to see your back. If right blade sticks way out, go negative. If pulled in tight, go positive. Zero is typical."
l_scapula_winging,3,"Left blade poking out?","Looks at how much your left shoulder blade lifts away from the back (-10 = very flat, +10 = very poked out, 0 = normal).","Stand relaxed or try a wall push-up. If it really lifts off your back, go positive. If it’s super flat, go negative. Zero is normal."
r_scapula_winging,3,"Right blade poking out?","Looks at how much your right shoulder blade lifts away from the back (-10 = very flat, +10 = very poked out, 0 = normal).","Stand relaxed or try a wall push-up. If it really lifts off your back, go positive. If it’s super flat, go negative. Zero is normal."
l_pec_tension,4,"Left chest tight/open?","Checks if the left chest area feels compressed or open (-10 = very tight, +10 = very open, 0 = normal).","Place a hand on your left chest and gently press or stretch. If it feels really tight, go negative. If very open, go positive. Zero is normal."
r_pec_tension,4,"Right chest tight/open?","Checks if the right chest area feels compressed or open (-10 = very tight, +10 = very open, 0 = normal).","Place a hand on your right chest and gently press or stretch. If it feels really tight, go negative. If very open, go positive. Zero is normal."
l_ribcage_position,4,"Left ribcage up/down?","Shows if your left ribcage is dropped or raised (-10 = very low, +10 = very high, 0 = usual).","Look at your left side in a mirror. If it’s sunken, go negative. If lifted, go positive. Zero is your normal ribcage height."
r_ribcage_position,4,"Right ribcage up/down?","Shows if your right ribcage is dropped or raised (-10 = very low, +10 = very high, 0 = usual).","Look at your right side in a mirror. If it’s sunken, go negative. If lifted, go positive. Zero is your normal ribcage height."
l_breathing_pattern,4,"Left side breathing?","Checks how much your left side expands when you breathe (-10 = very tight, +10 = very open, 0 = normal).","Place a hand on left ribs while breathing. If it hardly moves (tight), go negative. If it expands a lot, go positive. Zero is normal expansion."
r_breathing_pattern,4,"Right side breathing?","Checks how much your right side expands when you breathe (-10 = very tight, +10 = very open, 0 = normal).","Place a hand on right ribs while breathing. If it hardly moves (tight), go negative. If it expands a lot, go positive. Zero is normal expansion."
l_thoracic_rotation,4,"Left upper back twist?","Shows how easily you twist your upper back left (-10 = very stuck, +10 = very free, 0 = normal).","Sit or stand upright. Gently turn your torso left. If it feels very tight, go negative. If it moves easily, go positive. Zero is normal."
r_thoracic_rotation,4,"Right upper back twist?","Shows how easily you twist your upper back right (-10 = very stuck, +10 = very free, 0 = normal).","Sit or stand upright. Gently turn your torso right. If it feels very tight, go negative. If it moves easily, go positive. Zero is normal."
l_thoracic_tension,4,"Left upper back tension?","Checks tightness in your left upper back area (-10 = extremely tight, +10 = very loose, 0 = normal).","Feel or gently press your left upper back. If it’s very tense, go negative. If relaxed or open, go positive. Zero is normal tension."
r_thoracic_tension,4,"Right upper back tension?","Checks tightness in your right upper back area (-10 = extremely tight, +10 = very loose, 0 = normal).","Feel or gently press your right upper back. If it’s very tense, go negative. If relaxed or open, go positive. Zero is normal tension."
l_thoracic_flexibility,4,"Left upper back flexibility?","Shows how flexible or stiff your left upper back is (-10 = very stiff, +10 = very bendy, 0 = normal).","Try arching or bending your upper back to the left. If it’s locked, go negative. If it bends easily, go positive. Zero is your usual range."
r_thoracic_flexibility,4,"Right upper back flexibility?","Shows how flexible or stiff your right upper back is (-10 = very stiff, +10 = very bendy, 0 = normal).","Try arching or bending your upper back to the right. If it’s locked, go negative. If it bends easily, go positive. Zero is your usual range."
