,Posture Problem,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis only,Lordosis + Kyphosis,Lordosis + Forward Head Posture,Lordosis + Rounded Shoulders,Lordosis + Scoliosis,Lordosis + Pelvic Tilt,Lordosis + Flat Back Syndrome,Lordosis + Text Neck,Lordosis + Slumped Sitting Posture,Lordosis + Hyperlordosis,Lordosis + Kyphosis,Lordosis + Kyphosis + Forward Head Posture,Lordosis + Scoliosis + Pelvic Tilt,Lordosis + Rounded Shoulders + Text Neck,Lordosis + Forward Head Posture + Slumped Sitting Posture,Lordosis + Kyphosis + Rounded Shoulders,Lordosis + Pelvic Tilt + Hyperlordosis,Lordosis + Scoliosis + Flat Back Syndrome,Lordosis + Forward Head Posture + Text Neck,Lordosis + Kyphosis + Slumped Sitting Posture,Lordosis + Rounded Shoulders + Pelvic Tilt
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
user_notes,112,"Mild Lordosis, symmetric","Mild Lordosis, symmetric","Mild Lordosis, symmetric","Moderate Lordosis, symmetric","Severe Lordosis, symmetric","Moderate Lordosis, asymmetric (left hip lower)","Moderate Lordosis, asymmetric (right hip lower)","Severe Lordosis, symmetric","Severe Lordosis, asymmetric (left hip lower)","Severe Lordosis, asymmetric (right hip higher)","Mild Lordosis + Kyphosis, symmetric","Mild Lordosis + Forward Head Posture, symmetric","Mild Lordosis + Rounded Shoulders, symmetric","Mild Lordosis + Scoliosis (right curve), asymmetric","Mild Lordosis + Pelvic Tilt (anterior), symmetric","Moderate Lordosis + Flat Back Syndrome, asymmetric (left hip lower)","Moderate Lordosis + Text Neck, symmetric","Moderate Lordosis + Slumped Sitting Posture, symmetric","Severe Lordosis + Hyperlordosis, symmetric","Severe Lordosis + Kyphosis, symmetric","Mild Lordosis + Kyphosis + Forward Head Posture, symmetric","Mild Lordosis + Scoliosis + Pelvic Tilt, symmetric","Mild Lordosis + Rounded Shoulders + Text Neck, symmetric","Mild Lordosis + Forward Head Posture + Slumped Sitting Posture, symmetric","Mild Lordosis + Kyphosis + Rounded Shoulders, symmetric","Moderate Lordosis + Pelvic Tilt + Hyperlordosis, symmetric","Moderate Lordosis + Scoliosis + Flat Back Syndrome, asymmetric","Moderate Lordosis + Forward Head Posture + Text Neck, symmetric","Severe Lordosis + Kyphosis + Slumped Sitting Posture, symmetric","Severe Lordosis + Rounded Shoulders + Pelvic Tilt, symmetric"
Question ID,Answer ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
l_tmj_tension,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,5,0
r_tmj_tension,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,5,0
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,4,4,0
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,4,4,0
l_head_weight,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,3,3,0
r_head_weight,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,3,3,0
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,5,0
l_ear_shoulder,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,5,0
r_ear_shoulder,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,5,5,0
l_neck_tilt,10,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-4,0,0,0,-4,0,0,-5,0,0,0,-5,-5,0
r_neck_tilt,11,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-4,0,0,0,-4,0,0,-5,0,0,0,-5,-5,0
l_neck_rotation,12,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-3,0,0,0,-3,0,0,-4,0,0,0,-4,-4,0
r_neck_rotation,13,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-3,0,0,0,-3,0,0,-4,0,0,0,-4,-4,0
neck_forward,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,5,0,0,6,0,0,0,6,6,0
l_shoulder_height,15,0,0,0,0,0,0,0,0,2,-2,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,2
r_shoulder_height,16,0,0,0,0,0,0,0,0,-2,2,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,-2,0,2,0,0,-2
l_shoulder_forward,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
r_shoulder_forward,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
l_scapula_position,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
