,User posture problem,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck only,Text Neck + Forward Head Posture,Text Neck + Rounded Shoulders,Text Neck + Kyphosis,Text Neck + Scoliosis,Text Neck + Pelvic Tilt,Text Neck + Flat Back Syndrome,Text Neck + Hyperlordosis,Text Neck + Slumped Sitting Posture,Text Neck + Lordosis,Text Neck + Scoliosis,Text Neck + Forward Head Posture + Rounded Shoulders,Text Neck + Kyphosis + Slumped Sitting Posture,Text Neck + Scoliosis + Pelvic Tilt,Text Neck + Flat Back Syndrome + Rounded Shoulders,Text Neck + Lordosis + Pelvic Tilt,Text Neck + Forward Head Posture + Scoliosis,Text Neck + Kyphosis + Rounded Shoulders,Text Neck + Slumped Sitting Posture + Forward Head Posture,Text Neck + Pelvic Tilt + Hyperlordosis,Text Neck + Hyperlordosis + Rounded Shoulders
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
user_notes,,"Mild, symmetric Text Neck; mild neck stiffness and upper back tension.","Mild, asymmetric Text Neck (left worse); left neck tighter.","Mild, asymmetric Text Neck (right worse); right neck tighter.","Moderate, symmetric Text Neck; increased neck and upper back strain.","Moderate, asymmetric Text Neck (left worse); left-sided dominance.","Moderate, asymmetric Text Neck (right worse); right-sided strain.","Severe, symmetric Text Neck; significant neck and upper back issues.","Severe, asymmetric Text Neck (left worse); left neck severely tight.","Severe, asymmetric Text Neck (right worse); right neck severely tight.","Mild, symmetric Text Neck; basic neck stiffness.","Mild, symmetric Text Neck + Forward Head Posture; enhanced forward head position.","Mild, symmetric Text Neck + Rounded Shoulders; added shoulder forwardness.","Moderate, symmetric Text Neck + Kyphosis; increased thoracic curve.","Moderate, asymmetric Text Neck + Scoliosis (right curve); right-sided spinal curve.","Mild, symmetric Text Neck + Pelvic Tilt (anterior); anterior pelvic tilt.","Moderate, symmetric Text Neck + Flat Back Syndrome; flattened lumbar curve.","Moderate, symmetric Text Neck + Hyperlordosis; exaggerated lumbar curve.","Mild, symmetric Text Neck + Slumped Sitting Posture; slouched spine.","Severe, symmetric Text Neck + Lordosis; pronounced lumbar curve.","Mild, asymmetric Text Neck + Scoliosis (left curve); left-sided spinal curve.","Moderate, asymmetric Text Neck + Forward Head Posture + Rounded Shoulders (right worse); right shoulder more forward.","Severe, symmetric Text Neck + Kyphosis + Slumped Sitting Posture; severe upper back rounding.","Severe, asymmetric Text Neck + Scoliosis + Pelvic Tilt (left worse); left-sided curve and tilt.","Moderate, symmetric Text Neck + Flat Back Syndrome + Rounded Shoulders; flat back with forward shoulders.","Moderate, symmetric Text Neck + Lordosis + Pelvic Tilt; lumbar and pelvic exaggeration.","Severe, asymmetric Text Neck + Forward Head Posture + Scoliosis (right worse); right-sided dominance.","Moderate, symmetric Text Neck + Kyphosis + Rounded Shoulders; pronounced upper back issues.","Severe, symmetric Text Neck + Slumped Sitting Posture + Forward Head Posture; severe slouch and forward head.","Moderate, symmetric Text Neck + Pelvic Tilt + Hyperlordosis; pelvic and lumbar strain.","Severe, symmetric Text Neck + Hyperlordosis + Rounded Shoulders; severe lumbar and shoulder issues."
l_tmj_tension,1,0,-1,0,0,-2,0,0,-3,0,0,0,0,0,-1,0,0,0,0,0,-1,-2,0,-1,0,0,-2,0,0,0,-1
r_tmj_tension,2,0,0,-1,0,0,-2,0,0,-3,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-2,0,0,0,-2,0,0,0
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_head_weight,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-2,0,0,0,0
r_head_weight,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
head_tilt_sagittal,7,-2,-2,-3,-4,-4,-5,-7,-7,-8,-2,-3,-4,-5,-2,-3,-4,-2,-5,-3,-5,-7,-8,-4,-5,-7,-6,-8,-5,-7
l_ear_shoulder,8,2,3,2,4,5,4,7,8,7,2,3,4,5,2,3,4,2,5,3,5,7,8,4,5,7,6,8,5,7
