Number,Name,Side,How to Do It,Alignment Cues,Primary Focus Areas,What to Feel,Variations for Different Curvatures,Adaptations,Outcome & Benefits,Feedback Indicators
1,Tadasana,Both,"Stand with feet hip-distance apart, distribute weight evenly, engage the leg muscles, lengthen the spine, and relax the shoulders.","Align ears, shoulders, hips, and ankles in a straight line; imagine a string pulling upward from the crown of the head.","Focus on grounding the feet, engaging the core, and establishing a strong, upright posture.",Feel stable and balanced with gentle activation in the legs and core.,"If one side feels dominant, adjust weight distribution slightly to compensate.",Use a mirror or wall support to monitor alignment.,"Improves posture, increases body awareness, and provides a foundation for other movements.",Visual check in the mirror shows even alignment; sensations of balance in both legs and core.
2,Samasthiti,Both,"Stand upright with feet together or hip-width apart, ensuring even weight distribution; relax the arms at the sides.","Maintain a neutral, tall posture with shoulders relaxed and head aligned over the spine.",Emphasizes overall balance and a neutral spinal alignment.,"Feel a sense of calm, centeredness, and symmetry throughout the body.",Slight modifications to foot placement may be necessary to accommodate any asymmetry due to scoliosis.,Use a mirror for visual feedback and adjust feet as needed.,Reinforces neutral posture and body awareness.,"Should result in a balanced feel with shoulders, hips, and head remaining level."
3,Uttanasana,Both,"From standing, hinge at the hips to fold forward while keeping the spine long; allow the upper body to relax toward the legs, bending the knees as needed.",Lead with the chest to maintain length in the spine and avoid excessive rounding.,"Targets the hamstrings, calves, lower back, and gently engages the core.",Experience a deep stretch along the backside of the legs with a release in the lower back.,"For those with scoliosis, performing the pose with a slight knee bend or keeping the back more neutral can reduce strain.",Use blocks under the hands for support or modify the fold by sitting on a chair if needed.,"Enhances flexibility, relieves tension in the back and legs, and promotes relaxation.","A gentle, even stretch should be felt in the hamstrings and lower back without sharp pain."
4,Utkatasana,Both,Stand with feet hip-width apart; bend the knees and lower the hips as if sitting in an imaginary chair while extending the arms upward.,"Keep the knees behind the toes, maintain a straight back, and engage the core throughout the pose.","Focuses on strengthening the legs, core, and back muscles.",Feel a strong activation in the thighs and glutes with a supportive engagement of the core.,Adjust the depth of the squat based on individual asymmetry; avoid going too deep if it disrupts spinal alignment.,"If balance is an issue, perform the pose next to a chair or wall for support, or reduce the squat depth.","Builds lower body strength, improves balance and stability, and supports better posture.",You should feel even work in both legs and a secure core engagement without compromising spinal alignment.
5,Malasana,Both,Stand with feet slightly wider than hip-width; squat down deeply with heels on the floor if possible. Bring your palms together at your chest and press your elbows against your inner thighs to help open the hips.,Keep your spine long and chest lifted; ensure your knees track over your toes and the weight is evenly distributed.,"Focus on stretching the groin, inner thighs, hips, and lower back while engaging the core.",Feel a deep stretch in the inner thighs and groin with firm engagement in the legs.,"If one side feels tighter due to scoliosis, adjust by slightly shifting weight to promote symmetry.",Use a folded towel or block under the heels if needed for balance; support your hands on a wall for additional stability.,"Enhances hip mobility, improves lower body strength, and supports better alignment through a grounded squat.",Check in a mirror for even knee tracking and symmetry; sensations should be balanced on both sides without sharp pain.
6,Padmasana,Both,Sit on the floor with your legs extended. Slowly bend one knee and place its foot on the opposite thigh; repeat with the other leg so that each foot rests on the opposite thigh.,Maintain an upright spine with relaxed shoulders and a long neck; ensure the knees are close to the floor.,"Targets hip flexibility, opens the knees, and encourages a neutral, meditative posture.","Feel a deep, gentle stretch in the hips and inner thighs with a sense of calm and balance.","For those with limited hip mobility or asymmetry, consider a half-lotus variation.",Use a cushion or bolster under the hips to support the lower back and ease the stretch if full lotus is too intense.,"Improves hip flexibility, fosters a balanced seated posture, and deepens meditative focus.","You should feel a calm, even stretch in both hips; any discomfort in one hip indicates a need to modify (e.g., try half-lotus)."
7,Sukhasana,Both,Sit cross-legged on the floor with your spine upright and your hands resting on your knees or in your lap. Adjust your legs so that the weight is distributed evenly.,"Keep your back straight, shoulders relaxed, and chin parallel to the floor; ensure that both hips are evenly aligned.","Focuses on cultivating relaxation, meditation, and overall body awareness in the seated position.","Experience a gentle, balanced stretch in the hips with a calm and centered sensation throughout the upper body.","If one hip feels lower or tighter, you might need a folded blanket under that side to level the pelvis.",Place a cushion under the hips if sitting on a hard surface is uncomfortable or if slight asymmetry needs correction.,"Promotes mindfulness, improves posture during meditation, and supports a neutral, balanced spine.",A self-check in the mirror or by feel should confirm that the weight is evenly distributed and the hips are level.
8,Vajrasana,Both,Kneel on the floor with your knees together. Sit back gently on your heels with your thighs resting on your calves and your spine erect.,Ensure your back remains straight and shoulders relaxed; distribute your weight evenly between your knees and feet.,"Strengthens the back, stretches the front of the thighs, and promotes digestive health.",Feel a grounded and stable sensation in the lower body with a gentle stretch in the thighs and knees.,Individuals with knee or hip restrictions may need to modify the depth of the pose.,Place a folded blanket or bolster under the hips or between the calves and thighs to reduce pressure if necessary.,"Improves posture, aids digestion, and provides a stable, meditative seating posture.",You should feel secure and balanced with no sharp pressure on the knees; any discomfort indicates that additional cushioning or adjustments are needed.
9,Virasana,Both,"Kneel with your knees together, then slide your buttocks down between your feet so that you sit on the floor. Keep your legs folded to the sides, with the tops of your feet flat on the ground.",Maintain an upright spine with the chest open and the crown of your head lifted. Ensure both knees face forward and the weight is evenly distributed.,"Focus on stretching the thighs, shins, and opening the hips while supporting a neutral spine.","Feel a deep, even stretch in the front of the thighs and shins with a stable, balanced seating posture.","If one side is tighter, slightly adjust your weight distribution to promote symmetry.","Use a folded blanket or bolster under the hips for additional support if needed, especially if you experience discomfort in the knees or ankles.","Improves flexibility in the knees and ankles, opens the hips, and encourages proper alignment in the lower body.",A visual or tactile check should reveal even distribution of weight and balanced stretch on both sides without pain.
10,Balasana,Both,"Begin on your knees, then sit back onto your heels. Lower your torso forward to rest on the floor with your forehead touching the mat. Extend your arms forward or allow them to rest alongside your body.","Keep your spine long by reaching the crown of your head away from the floor, and allow the shoulders to relax away from the ears.","Focuses on gently stretching the back, shoulders, and hips while promoting relaxation.","Feel a soothing release and gentle stretch in the back and shoulders, along with a sense of calm.","For individuals with scoliosis, you may modify arm placement—either extended forward or resting at your sides—to maintain balance.","If folding fully forward is challenging, use a bolster or pillow under the chest for support.","Encourages spinal elongation, relieves tension in the upper body, and supports relaxation.","Feedback should indicate a gentle, evenly distributed stretch with no sharp pain, and a feeling of calm throughout the back."
