I am developing an app to ask questions to user to asses their posture then create Muscle Status matrix where I keep if user's muscle is overstretched and weak or tight and strong.

I need to create Muscle Assesment matrix to make a transformation between the muscle list below and the questions below.

For each question, evaluate the relation strength of question and each muscles and fill the matrix. Every question gives information about joint angles and other status info of user's body. These will be used to predict which muscles are tight and which muscles are overstretched/weak.

Let's call answers of below questions AnswerArray.

If I multiply AnswerArray and Muscle Assesment Matrix, I will have a resulting matrix called Muscle Status Matrix.

if a value in Muscle status array is negative, then that means that specific muscle is tight, and needs to be stretched. If a value in Muscle Status array is negative, then that means that specific muscle is over stretched and needs to be trained. 

If, when certain answer's value is positive, and if it indicates specific muscle is tightened. Then it means related cell of Muscle Assesment Matrix should be negative. So, when we multiply positive value of AnswerArray and negative value in Muscle Assesment Matrix, we will have negative value on MuscleStatus matrix.

If, when certain answer's value is positive, and if it indicates specific muscle is stretched. Then it means related cell of Muscle Assesment Matrix should be positive. So, when we multiply positive value of AnswerArray and positive value in Muscle Assesment Matrix, we will have positive value on MuscleStatus matrix.

If, when certain answer's value is negative, and if it indicates specific muscle is tightened. Then it means related cell of Muscle Assesment Matrix should be positive. So, when we multiply negative value of AnswerArray and positive value in Muscle Assesment Matrix, we will have negative value on MuscleStatus matrix.

If, when certain answer's value is negative, and if it indicates specific muscle is stretched. Then it means related cell of Muscle Assesment Matrix should be negative. So, when we multiply negative value of AnswerArray and negative value in Muscle Assesment Matrix, we will have positive value on MuscleStatus matrix.

Create the Muscle Assesment Matrix by using scientific resources as a reference. Use larger values if the relation between any question and any muscle is stronger. Muscle Assesment Matrix values should be between -1 and 1. If the relation is direct, then value must be further from 0. As the relations gets weaker, value gets closer to 0. If the relation strength is between -0.05 and 0.05,  Ignore the relation and leave that cell empty. 

Consider the chain effect on posture. Consider compensating behavior of posture problems. Consider main focus area of the question can affect neighboring areas. Consider main focus of the question can disrupt areas on above or below, for example; weak muscle on foot can create compensating tightness on thoracic region.  I mean, effect spans along a lot of muscles and fascias, not only close region. 

Use biomechanical bilateral equations, or clinic information or scientific data to fill the matrix. If you can't find solid information, use approximated or predicted values but try to make those approximations or predictions super accurate. This is not a hypothetical data. 

Verify your own data by checking the symmetry of values.
Use numbering of muscle list in your resulting csv.
First print CSV file, then print your comments.
You can trim the file from first item and last item but never print it with missing lines. I expect consecutive row even some of them are empty.


Questions:

    'thoracic_spine': [
        ('l_thoracic_rotation', 'Left thoracic rotation range? (-10=limited, 0=normal, 10=excessive)'),
        ('r_thoracic_rotation', 'Right thoracic rotation range? (-10=limited, 0=normal, 10=excessive)'),
        ('l_thoracic_tension', 'Left upper back tension? (0=none, 10=severe)'),
        ('r_thoracic_tension', 'Right upper back tension? (0=none, 10=severe)'),
        ('l_thoracic_flexibility', 'Left upper back flexibility? (0=normal, 10=stiff)'),
        ('r_thoracic_flexibility', 'Right upper back flexibility? (0=normal, 10=stiff)'),
        ('thoracic_curve', 'Overall upper back curve? (0=normal, 10=excessive rounding)')
    ],


MUSCLES:

ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions
1,MUSCLE,Head & TMJ,Left,Masseter,[]
2,MUSCLE,Head & TMJ,Right,Masseter,[]
3,MUSCLE,Head & TMJ,Left,Temporalis,[]
4,MUSCLE,Head & TMJ,Right,Temporalis,[]
5,MUSCLE,Head & TMJ,Left,Medial Pterygoid,[]
6,MUSCLE,Head & TMJ,Right,Medial Pterygoid,[]
7,MUSCLE,Head & TMJ,Left,Lateral Pterygoid,[]
8,MUSCLE,Head & TMJ,Right,Lateral Pterygoid,[]
9,MUSCLE,Head & TMJ,Left,Digastric,[Cervical]
10,MUSCLE,Head & TMJ,Right,Digastric,[Cervical]
11,MUSCLE,Head & TMJ,Left,Mylohyoid,[Cervical]
12,MUSCLE,Head & TMJ,Right,Mylohyoid,[Cervical]
13,MUSCLE,Head & TMJ,Left,Stylohyoid,[Cervical]
14,MUSCLE,Head & TMJ,Right,Stylohyoid,[Cervical]
15,MUSCLE,Head & TMJ,Left,Sternohyoid,[Cervical]
16,MUSCLE,Head & TMJ,Right,Sternohyoid,[Cervical]
17,MUSCLE,Head & TMJ,Left,Sternothyroid,[Cervical]
18,MUSCLE,Head & TMJ,Right,Sternothyroid,[Cervical]
19,MUSCLE,Head & TMJ,Left,Omohyoid,[Cervical]
20,MUSCLE,Head & TMJ,Right,Omohyoid,[Cervical]
21,MUSCLE,Head & TMJ,Left,Thyrohyoid,[Cervical]
22,MUSCLE,Head & TMJ,Right,Thyrohyoid,[Cervical]
23,FASCIA,Head & TMJ,Left,Temporalis Fascia,[]
24,FASCIA,Head & TMJ,Right,Temporalis Fascia,[]
25,FASCIA,Head & TMJ,Left,Superficial Fascia of Face/Scalp,[]
26,FASCIA,Head & TMJ,Right,Superficial Fascia of Face/Scalp,[]
27,MUSCLE,Cervical,Left,Longus Capitis,[]
28,MUSCLE,Cervical,Right,Longus Capitis,[]
29,MUSCLE,Cervical,Left,Longus Colli,[]
30,MUSCLE,Cervical,Right,Longus Colli,[]
31,MUSCLE,Cervical,Left,Rectus Capitis Anterior,[]
32,MUSCLE,Cervical,Right,Rectus Capitis Anterior,[]
33,MUSCLE,Cervical,Left,Sternocleidomastoid,[Head & TMJ Region : Thoracic Region]
34,MUSCLE,Cervical,Right,Sternocleidomastoid,[Head & TMJ Region : Thoracic Region]
35,MUSCLE,Cervical,Left,Scalenes (Anterior),[Thoracic Region]
36,MUSCLE,Cervical,Right,Scalenes (Anterior),[Thoracic Region]
37,MUSCLE,Cervical,Left,Scalenes (Middle),[Thoracic Region]
38,MUSCLE,Cervical,Right,Scalenes (Middle),[Thoracic Region]
39,MUSCLE,Cervical,Left,Scalenes (Posterior),[Thoracic Region]
40,MUSCLE,Cervical,Right,Scalenes (Posterior),[Thoracic Region]
41,MUSCLE,Cervical,Left,Rectus Capitis Posterior Major,[Head & TMJ Region]
42,MUSCLE,Cervical,Right,Rectus Capitis Posterior Major,[Head & TMJ Region]
43,MUSCLE,Cervical,Left,Rectus Capitis Posterior Minor,[Head & TMJ Region]
44,MUSCLE,Cervical,Right,Rectus Capitis Posterior Minor,[Head & TMJ Region]
45,MUSCLE,Cervical,Left,Obliquus Capitis Superior,[Head & TMJ Region]
46,MUSCLE,Cervical,Right,Obliquus Capitis Superior,[Head & TMJ Region]
47,MUSCLE,Cervical,Left,Obliquus Capitis Inferior,[]
48,MUSCLE,Cervical,Right,Obliquus Capitis Inferior,[]
49,MUSCLE,Cervical,Left,Splenius Capitis,[]
50,MUSCLE,Cervical,Right,Splenius Capitis,[]
51,MUSCLE,Cervical,Left,Splenius Cervicis,[]
52,MUSCLE,Cervical,Right,Splenius Cervicis,[]
53,MUSCLE,Cervical,Left,Levator Scapulae,[Shoulder Girdle & Scapular Region]
54,MUSCLE,Cervical,Right,Levator Scapulae,[Shoulder Girdle & Scapular Region]
55,MUSCLE,Cervical,Left,Upper Trapezius,[Head & TMJ Region : Shoulder Girdle & Scapular Region]
56,MUSCLE,Cervical,Right,Upper Trapezius,[Head & TMJ Region : Shoulder Girdle & Scapular Region]
57,FASCIA,Cervical,Center,Nuchal Ligament,[]
58,FASCIA,Cervical,Left,Prevertebral Fascia,[]
59,FASCIA,Cervical,Right,Prevertebral Fascia,[]
60,FASCIA,Cervical,Left,Suboccipital Fascia,[]
61,FASCIA,Cervical,Right,Suboccipital Fascia,[]
62,MUSCLE,Shoulder Girdle & Scapular Region,Left,Middle Trapezius,[Thoracic Region]
63,MUSCLE,Shoulder Girdle & Scapular Region,Right,Middle Trapezius,[Thoracic Region]
64,MUSCLE,Shoulder Girdle & Scapular Region,Left,Lower Trapezius,[Thoracic Region]
65,MUSCLE,Shoulder Girdle & Scapular Region,Right,Lower Trapezius,[Thoracic Region]
66,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Major,[Thoracic Region]
67,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Major,[Thoracic Region]
68,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Minor,[Cervical Region : Thoracic Region]
69,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Minor,[Cervical Region : Thoracic Region]
70,MUSCLE,Shoulder Girdle & Scapular Region,Left,Serratus Anterior,[Thoracic Region]
71,MUSCLE,Shoulder Girdle & Scapular Region,Right,Serratus Anterior,[Thoracic Region]
72,MUSCLE,Shoulder Girdle & Scapular Region,Left,Supraspinatus,[]
73,MUSCLE,Shoulder Girdle & Scapular Region,Right,Supraspinatus,[]
74,MUSCLE,Shoulder Girdle & Scapular Region,Left,Infraspinatus,[]
75,MUSCLE,Shoulder Girdle & Scapular Region,Right,Infraspinatus,[]
76,MUSCLE,Shoulder Girdle & Scapular Region,Left,Teres Minor,[]
77,MUSCLE,Shoulder Girdle & Scapular Region,Right,Teres Minor,[]
78,MUSCLE,Shoulder Girdle & Scapular Region,Left,Subscapularis,[]
79,MUSCLE,Shoulder Girdle & Scapular Region,Right,Subscapularis,[]
80,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Minor,[Thoracic Region]
81,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Minor,[Thoracic Region]
82,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Major,[Thoracic Region : Abdominal & Core Region]
83,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Major,[Thoracic Region : Abdominal & Core Region]
84,MUSCLE,Shoulder Girdle & Scapular Region,Left,Latissimus Dorsi,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
85,MUSCLE,Shoulder Girdle & Scapular Region,Right,Latissimus Dorsi,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region]
86,FASCIA,Shoulder Girdle & Scapular Region,Left,Brachial Fascia,[]
87,FASCIA,Shoulder Girdle & Scapular Region,Right,Brachial Fascia,[]
88,FASCIA,Shoulder Girdle & Scapular Region,Left,Axillary Fascia,[]
89,FASCIA,Shoulder Girdle & Scapular Region,Right,Axillary Fascia,[]
90,MUSCLE,Thoracic Region,Left,Iliocostalis Thoracis,[Lumbar & Lower Back Region]
91,MUSCLE,Thoracic Region,Right,Iliocostalis Thoracis,[Lumbar & Lower Back Region]
92,MUSCLE,Thoracic Region,Left,Longissimus Thoracis,[Lumbar & Lower Back Region]
93,MUSCLE,Thoracic Region,Right,Longissimus Thoracis,[Lumbar & Lower Back Region]
94,MUSCLE,Thoracic Region,Left,Spinalis Thoracis,[Lumbar & Lower Back Region]
95,MUSCLE,Thoracic Region,Right,Spinalis Thoracis,[Lumbar & Lower Back Region]
96,MUSCLE,Thoracic Region,Left,Multifidus (Thoracic),[Lumbar & Lower Back Region]
97,MUSCLE,Thoracic Region,Right,Multifidus (Thoracic),[Lumbar & Lower Back Region]
98,MUSCLE,Thoracic Region,Left,Serratus Posterior Superior,[Cervical Region]
99,MUSCLE,Thoracic Region,Right,Serratus Posterior Superior,[Cervical Region]
