ItemNumber,l_single_leg,r_single_leg,l_weight_shift,r_weight_shift,l_arm_raising,r_arm_raising,squat_symmetry,gait_symmetry
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,, -0.5,,          
54,,,,,,, -0.5,,         
55,,,,,, -0.6,,          
56,,,,,,, -0.6,,        
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,, 0.4,,           
65,,,,,,, 0.4,,          
66,,,,,,, 0.3,,          
67,,,,,,, 0.3,,         
68,,,,,,,,
69,,,,,,,,
70,,,,,, 0.5,,       
71,,,,,,, 0.5,,        
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,, -0.3,,          
81,,,,,,, -0.3,,         
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,0.4,,0.2,,,,0.2,0.2  
111,,0.4,,0.2,,, -0.2,-0.2  
112,0.4,,0.2,,,,0.2,0.2  
113,,0.4,,0.2,,, -0.2,-0.2 
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,0.3,,0.2,,,,0.2,0.2 
133,,0.3,,0.2,,, -0.2,-0.2  
134,0.5,,0.3,,,,0.2,0.2  
135,,0.5,,0.3,,, -0.2,-0.2 
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,0.3,,0.2,,,,0.3,0.2 
149,,0.3,,0.2,,, -0.3,-0.2 
150,0.5,,0.3,,,,0.3,0.3 
