ItemNumber,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
1,,,, 
2,,,, 
3,,,, 
4,,,, 
5,,,, 
6,,,, 
7,,,, 
8,,,, 
9,,,, 
10,,,, 
11,,,, 
12,,,, 
13,,,, 
14,,,, 
15,,,, 
16,,,, 
17,,,, 
18,,,, 
19,,,, 
20,,,, 
21,,,, 
22,,,, 
23,,,, 
24,,,, 
25,,,, 
26,,,, 
27,0.70,0.30,,   
28,0.30,0.70,,  
29,0.70,0.30,,     
30,0.30,0.70,,
31,0.70,0.30,, 
32,0.30,0.70,,
33,-0.70,-0.30,,     
34,-0.30,-0.70,,
35,,,, 
36,,,, 
37,,,, 
38,,,, 
39,,,, 
40,,,, 
41,-0.70,-0.30,,  
42,-0.30,-0.70,,
43,-0.70,-0.30,,
44,-0.30,-0.70,,
45,-0.70,-0.30,,
46,-0.30,-0.70,,
47,-0.70,-0.30,,
48,-0.30,-0.70,,
49,,,, 
50,,,, 
51,,,, 
52,,,, 
53,-0.70,-0.30,,     
54,-0.30,-0.70,,
55,-0.70,-0.30,,   
56,-0.30,-0.70,,
57,,,, 
58,,,, 
59,,,, 
60,,,, 
61,,,, 
62,,,, 
63,,,, 
64,0.70,0.30,,   
65,0.30,0.70,,
66,0.70,0.30,,  
67,0.30,0.70,,
68,0.70,0.30,,     
69,0.30,0.70,,
70,0.70,0.30,,  
71,0.30,0.70,,
72,,,, 
73,,,, 
74,,,, 
75,,,, 
76,,,, 
77,,,, 
78,,,, 
79,,,, 
80,-0.70,-0.30,,     
81,-0.30,-0.70,,
82,-0.70,-0.30,,    
83,-0.30,-0.70,,
84,,,, 
85,,,, 
86,,,, 
87,,,, 
88,,,, 
89,,,, 
90,,,, 
91,,,, 
92,,,, 
93,,,, 
94,,,, 
95,,,, 
96,,,, 
97,,,, 
98,,,, 
99,,,, 
100,,,, 
101,,,, 
102,,,, 
103,,,, 
104,,,, 
105,,,, 
106,,,, 
107,,,, 
108,,,,0.70    
109,,,,0.70        
110,,,,0.70        
111,,,,0.70
112,,,,0.70      
113,,,,0.70
114,,,,0.70  
115,,,,0.70
116,,,,0.70        
117,,,,0.70
118,,,,0.70        
119,,,,0.70
120,,,,0.70
121,,,,0.70
122,,,, 
123,,,, 
124,,,, 
125,,,, 
126,,,, 
127,,,, 
128,,, -0.70,    
129,,,, -0.70    
130,,, -0.70,    
131,,,, -0.70
132,,, -0.70,       
133,,,, -0.70
134,,, -0.70,     
135,,,, -0.70
136,,, -0.70,       
137,,,, -0.70
138,,, -0.70,    
139,,,, -0.70
140,,,, 
141,,,, 
142,,,, 
143,,,, 
144,,,, 
145,,,, 
146,,, -0.70,         
147,,,, -0.70
148,,, -0.70,       
149,,,, -0.70
150,,, -0.70,       
151,,,, -0.70
152,,, 0.70,      
153,,,,0.70
154,,,,               
155,,,, 
156,,,, 
157,,,, 
158,,,, 
159,,,, 
160,,, 0.70,       
161,,,,0.70
162,,, 0.70,         
163,,,,0.70
164,,,, 
165,,,, 
166,,,, 
167,,,, 
168,,,, 
169,,,, 
170,,,, 
171,,,, 
172,,,, 
173,,,, 
174,,,, 
175,,,, 
176,,,, 
177,,,, 
178,,,, 
179,,,, 
180,,,, 
181,,,, 
182,,,, 
183,,,, 
184,,,, 
185,,,, 
186,,,, 
187,,,, 
188,,,, 
189,,,, 
190,,,, 
191,,,, 
192,,,, 
193,,,, 
194,,,, 
195,,,, 
196,,,, 
197,,,, 
198,,,, 
199,,,, 
200,,,, 
201,,,, 
202,,,, 
203,,,, 
204,,,, 
205,,,, 
206,,,, 
207,,,, 
208,,,, 
209,,,, 
210,,,, 
211,,,, 
212,,,, 
213,,,, 
214,,,, 
215,,,, 
216,,,, 
217,,,, 
218,,,, 
219,,,, 
220,,,, 
221,,,, 
222,,,, 
223,,,, 
224,,,, 
225,,,, 
226,,,, 
227,,,, 
228,,,, 
229,,,, 
230,,,, 
231,,,, 
232,,,, 
233,,,, 
234,,,, 
235,,,, 
236,,,, 
237,,,, 
238,,,, 
239,,,, 
240,,,, 
241,,,, 
242,,,, 
243,,,, 
244,,,, 
245,,,, 
246,,,, 
247,,,, 
