ItemNumber,l_pec_tension,r_pec_tension,l_ribcage_position,r_ribcage_position,l_breathing_pattern,r_breathing_pattern
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,-0.3,,-0.2,,-0.25,
34,,-0.3,,-0.2,,-0.25
35,-0.35,,-0.2,,-0.2,
36,,-0.35,,-0.2,,-0.2
37,-0.35,,-0.2,,-0.2,
38,,-0.35,,-0.2,,-0.2
39,-0.35,,-0.2,,-0.2,
40,,-0.35,,-0.2,,-0.2
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,-0.2,,,-0.1,-0.1,
54,,-0.2,,-0.1,,-0.1
55,-0.35,,-0.15,,-0.2,
56,,-0.35,,-0.15,,-0.2
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,0.25,,, ,,
63,,0.25, ,, ,
64,,,,,,
65,,,,,,
66,0.2,,, ,,
67,,0.2, ,, ,
68,,,,,,
69,,,,,,
70,-0.4,,,-0.15,-0.15,
71,,-0.4,,-0.15,,-0.15
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,-0.8,,-0.2,,-0.3,
81,,-0.8,,-0.2,,-0.3
82,-0.85,,-0.15,,-0.25,
83,,-0.85,,-0.15,,-0.25
84,-0.3,,,,-0.1,
85,,-0.3,, , ,-0.1
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,-0.15,,-0.1,,,-0.05
91,,-0.15,,-0.1,,-0.05
92,-0.15,,-0.1,,,-0.05
93,,-0.15,,-0.1,,-0.05
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,-0.1,,-0.15,,,-0.05
99,,-0.1,,-0.15,,-0.05
100,,,,,,
101,,,,,,
102,-0.45,,-0.2,,-0.25,
103,,-0.45,,-0.2,,-0.25
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,-0.1,,-0.05,,-0.1,
109,,-0.1,,-0.05,,-0.1
110,-0.25,,-0.15,,-0.2,
111,,-0.25,,-0.15,,-0.2
112,,,,,,
113,,,,,,
114,-0.1,,,-0.05,-0.1,
115,,-0.1,,-0.05,,-0.1
116,-0.2,,-0.1,,-0.25,
117,,-0.2,,-0.1,,-0.25
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
