ItemNumber,l_thoracic_rotation,r_thoracic_rotation,l_thoracic_tension,r_thoracic_tension,l_thoracic_flexibility,r_thoracic_flexibility,thoracic_curve
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,-0.2,,-0.2,,-0.15
34,,,,-0.2,,-0.2,-0.15
35,,,-0.2,,-0.2,,-0.15
36,,,,-0.2,,-0.2,-0.15
37,,,-0.2,,-0.2,,-0.15
38,,,,-0.2,,-0.2,-0.15
39,,,-0.2,,-0.2,,-0.15
40,,,,-0.2,,-0.2,-0.15
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,-0.2,,-0.2,,-0.15
50,,,,-0.2,,-0.2,-0.15
51,,,-0.2,,-0.2,,-0.15
52,,,,-0.2,,-0.2,-0.15
53,,,-0.25,,-0.25,,-0.2
54,,,,-0.25,,-0.25,-0.2
55,,,-0.3,,-0.3,,-0.25
56,,,,-0.3,,-0.3,-0.25
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,-0.5,,-0.5,,0.6
63,,,,-0.5,,-0.5,0.6
64,,,-0.5,,-0.5,,0.6
65,,,,-0.5,,-0.5,0.6
66,,,-0.5,,-0.5,,0.6
67,,,,-0.5,,-0.5,0.6
68,,,-0.4,,-0.4,,0.5
69,,,,-0.4,,-0.4,0.5
70,,,-0.3,,-0.3,,
71,,,,-0.3,,-0.3,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,-0.6,,-0.6,,-0.6
81,,,,-0.6,,-0.6,-0.6
82,,,-0.4,,-0.4,,-0.4
83,,,,-0.4,,-0.4,-0.4
84,,,-0.3,,-0.3,,0.2
85,,,,-0.3,,-0.3,0.2
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
91,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
92,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
93,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
94,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
95,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
96,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
97,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7
98,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6
99,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6
100,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6
101,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6
102,0.3,0.3,-0.5,-0.5,-0.4,-0.4,0.5
103,0.3,0.3,-0.5,-0.5,-0.4,-0.4,0.5
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,0.3,0.3,,,,,0.3
109,0.3,0.3,,,,,0.3
