ItemNumber,l_lumbar_tension,r_lumbar_tension,l_lumbar_rotation,r_lumbar_rotation,l_lumbar_sidebend,r_lumbar_sidebend,lumbar_curve
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,-0.1,,,,,,
28,,-0.1,,,,,
29,-0.1,,,,,,
30,,-0.1,,,,,
31,-0.1,,,,,,
32,,-0.1,,,,,
33,-0.1,,,,,,
34,,-0.1,,,,,
35,-0.1,,,,,,
36,,-0.1,,,,,
37,-0.1,,,,,,
38,,-0.1,,,,,
39,-0.1,,,,,,
40,,-0.1,,,,,
41,-0.1,,,,,,
42,,-0.1,,,,,
43,-0.1,,,,,,
44,,-0.1,,,,,
45,-0.1,,,,,,
46,,-0.1,,,,,
47,-0.1,,,,,,
48,,-0.1,,,,,
49,-0.1,,,,,,
50,,-0.1,,,,,
51,-0.1,,,,,,
52,,-0.1,,,,,
53,-0.1,,,,,,
54,,-0.1,,,,,
55,-0.1,,,,,,
56,,-0.1,,,,,
57,,,,,,,
58,-0.05,,,,,,
59,,-0.05,,,,,
60,-0.05,,,,,,
61,,-0.05,,,,,
62,,,-0.1,,,-0.1,-0.1
63,,,,-0.1,,-0.1,-0.1
64,,,-0.1,,,-0.1,-0.1
65,,,,-0.1,,-0.1,-0.1
66,,,-0.1,,,-0.1,-0.1
67,,,,-0.1,,-0.1,-0.1
68,,,-0.1,,,-0.1,-0.1
69,,,,-0.1,,-0.1,-0.1
70,,,-0.1,,,-0.1,-0.1
71,,,,-0.1,,-0.1,-0.1
72,,,-0.15,,,-0.15,-0.15
73,,,,-0.15,,-0.15,-0.15
74,,,-0.15,,,-0.15,-0.15
75,,,,-0.15,,-0.15,-0.15
76,,,-0.15,,,-0.15,-0.15
77,,,,-0.15,,-0.15,-0.15
78,,,-0.15,,,-0.15,-0.15
79,,,,-0.15,,-0.15,-0.15
80,,,-0.15,,,-0.15,-0.15
81,,,,-0.15,,-0.15,-0.15
82,,,-0.15,,,-0.15,-0.15
83,,,,-0.15,,-0.15,-0.15
84,,,-0.2,,,-0.2,-0.2
85,,,,-0.2,,-0.2,-0.2
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,-0.3,,,,-0.2,,-0.2
91,,-0.3,,,,-0.2,-0.2
92,-0.3,,,,-0.2,,-0.2
93,,-0.3,,,,-0.2,-0.2
94,-0.3,,,,-0.2,,-0.2
95,,-0.3,,,,-0.2,-0.2
96,-0.3,,,,-0.2,,-0.2
97,,-0.3,,,,-0.2,-0.2
98,-0.3,,,,-0.2,,-0.2
99,,-0.3,,,,-0.2,-0.2
100,-0.3,,,,-0.2,,-0.2
101,,-0.3,,,,-0.2,-0.2
102,-0.3,,,,-0.2,,-0.2
103,,-0.3,,,,-0.2,-0.2
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,-0.4,,,,-0.2,,-0.3
109,,-0.4,,,,-0.2,-0.3
110,-0.4,,,,-0.2,,-0.3
111,,-0.4,,,,-0.2,-0.3
112,-0.4,,,,-0.2,,-0.3
113,,-0.4,,,,-0.2,-0.3
114,-0.4,,,,-0.2,,-0.3
115,,-0.4,,,,-0.2,-0.3
116,-0.4,,,,-0.2,,-0.3
117,,-0.4,,,,-0.2,-0.3
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,-0.8,,,,-0.4,,-0.5
129,,-0.8,,,,-0.4,-0.5
130,-0.8,,,,-0.4,,-0.5
131,,-0.8,,,,-0.4,-0.5
132,-0.8,,,,-0.4,,-0.5
133,,-0.8,,,,-0.4,-0.5
134,-0.8,,,,-0.4,,-0.5
135,,-0.8,,,,-0.4,-0.5
136,-0.8,,,,-0.4,,-0.5
137,,-0.8,,,,-0.4,-0.5
138,-0.8,,,,-0.4,,-0.5
139,,-0.8,,,,-0.4,-0.5
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,-0.3,,,,-0.2,,-0.2
147,,-0.3,,,,-0.2,-0.2
148,-0.3,,,,-0.2,,-0.2
149,,-0.3,,,,-0.2,-0.2
150,-0.3,,,,-0.2,,-0.2
151,,-0.3,,,,-0.2,-0.2
152,-0.3,,,,-0.2,,-0.2
153,,-0.3,,,,-0.2,-0.2
154,-0.3,,,,-0.2,,-0.2
155,,-0.3,,,,-0.2,-0.2
156,-0.3,,,,-0.2,,-0.2
157,,-0.3,,,,-0.2,-0.2
158,-0.3,,,,-0.2,,-0.2
159,,-0.3,,,,-0.2,-0.2
160,-0.3,,,,-0.2,,-0.2
161,,-0.3,,,,-0.2,-0.2
162,-0.3,,,,-0.2,,-0.2
163,,-0.3,,,,-0.2,-0.2
164,-0.3,,,,-0.2,,-0.2
165,,-0.3,,,,-0.2,-0.2
166,-0.3,,,,-0.2,,-0.2
167,,-0.3,,,,-0.2,-0.2
168,-0.3,,,,-0.2,,-0.2
169,,-0.3,,,,-0.2,-0.2
170,-0.3,,,,-0.2,,-0.2
171,,-0.3,,,,-0.2,-0.2
172,-0.3,,,,-0.2,,-0.2
173,,-0.3,,,,-0.2,-0.2
174,-0.3,,,,-0.2,,-0.2
175,,-0.3,,,,-0.2,-0.2
176,-0.3,,,,-0.2,,-0.2
177,,-0.3,,,,-0.2,-0.2
178,-0.3,,,,-0.2,,-0.2
179,,-0.3,,,,-0.2,-0.2
180,-0.3,,,,-0.2,,-0.2
181,,-0.3,,,,-0.2,-0.2
182,-0.3,,,,-0.2,,-0.2
183,,-0.3,,,,-0.2,-0.2
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,-0.1,,,,-0.04,,-0.04
190,,-0.1,,,,-0.04,-0.04
191,-0.1,,,,-0.04,,-0.04
192,,-0.1,,,,-0.04,-0.04
193,-0.1,,,,-0.04,,-0.04
194,,-0.1,,,,-0.04,-0.04
195,-0.1,,,,-0.04,,-0.04
196,,-0.1,,,,-0.04,-0.04
197,-0.1,,,,-0.04,,-0.04
198,,-0.1,,,,-0.04,-0.04
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
