ItemNumber,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,0.06,,0.06,,0.05
28,0.06,,0.06,,0.05,
29,,0.05,,0.05,,0.04
30,0.05,,0.05,,0.04,
31,,,,,,
32,,,,,,
33,,0.1,,0.1,,0.1
34,0.1,,0.1,,0.1,
35,,0.1,,0.1,,0.1
36,0.1,,0.1,,0.1,
37,,0.1,,0.1,,0.1
38,0.1,,0.1,,0.1,
39,,0.05,,0.05,,0.05
40,0.05,,0.05,,0.05,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,0.2,,0.2,,0.15,
50,,0.2,,0.2,,0.15
51,0.2,,0.2,,0.15,
52,,0.2,,0.2,,0.15
53,-0.1,,,-0.1,,-0.08
54,,,-0.1,,,-0.08
55,-0.2,,,-0.2,,-0.15
56,,,-0.2,,,-0.15
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,0.1,,0.1,,0.08,
63,,0.1,,0.1,,0.08
64,-0.1,,,-0.1,,-0.06
65,,,-0.1,,,-0.06
66,0.1,,0.1,,0.08,
67,,0.1,,0.1,,0.08
68,0.06,,0.06,,0.05,  
69,,0.06,,0.06,,0.05
70,-0.1,,,-0.1,,-0.08
71,,,-0.1,,,-0.08
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,-0.15,,,-0.15,,-0.1
81,,,-0.15,,,-0.1
82,-0.5,,,-0.5,,-0.3
83,,,-0.5,,,-0.3
84,-0.3,,,-0.4,,-0.25
85,,,-0.4,,,-0.25
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,0.4,,0.4,,0.3,
91,,0.4,,0.4,,0.3
92,0.4,,0.4,,0.3,
93,,0.4,,0.4,,0.3
94,0.4,,0.4,,0.3,
95,,0.4,,0.4,,0.3
96,0.35,,0.35,,0.25,
97,,0.35,,0.35,,0.25
98,,,,,,
99,,,,,,
100,,0.08,,0.08,,0.05
101,0.08,,0.08,,0.05,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,-0.9,,,-0.9,,-0.8
109,,,-0.9,,,-0.8
110,-0.8,,,-0.8,,-0.85
111,,,-0.8,,,-0.85
112,-0.8,,,-0.8,,-0.85
113,,,-0.8,,,-0.85
114,-0.6,,,-0.6,,-0.55
115,,,-0.6,,,-0.55
116,-0.3,,,-0.3,,-0.2
117,,,-0.3,,,-0.2
118,,0.1,,0.1,,0.08
119,0.1,,0.1,,0.08,
120,,0.1,,0.1,,0.08
121,0.1,,0.1,,0.08,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,0.4,,0.4,,0.3,
129,,0.4,,0.4,,0.3
130,0.4,,0.4,,0.3,
131,,0.4,,0.4,,0.3
132,0.35,,0.35,,0.25,
133,,0.35,,0.35,,0.25
134,-0.3,,,-0.3,,-0.2
135,,,-0.3,,,-0.2
136,-0.4,,,-0.4,,-0.3
137,,,-0.4,,,-0.3
