ItemNumber,Type,PrimaryRegion,Side,Name,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,
,,,,,,,,,,,
1,MUSCLE,Head & TMJ,Left,Masseter,,,,,,,
2,MUSCLE,Head & TMJ,Right,Masseter,,,,,,,
3,MUSCLE,Head & TMJ,Left,Temporalis,,,,,,,
4,MUSCLE,Head & TMJ,Right,Temporalis,,,,,,,
5,MUSCLE,Head & TMJ,Left,Medial Pterygoid,,,,,,,
6,MUSCLE,Head & TMJ,Right,Medial Pterygoid,,,,,,,
7,MUSCLE,Head & TMJ,Left,Lateral Pterygoid,,,,,,,
8,MUSCLE,Head & TMJ,Right,Lateral Pterygoid,,,,,,,
9,MUSCLE,Head & TMJ,Left,Digastric,,,,,,,
10,MUSCLE,Head & TMJ,Right,Digastric,,,,,,,
11,MUSCLE,Head & TMJ,Left,Mylohyoid,,,,,,,
12,MUSCLE,Head & TMJ,Right,Mylohyoid,,,,,,,
13,MUSCLE,Head & TMJ,Left,Stylohyoid,,,,,,,
14,MUSCLE,Head & TMJ,Right,Stylohyoid,,,,,,,
15,MUSCLE,Head & TMJ,Left,Sternohyoid,,,,,,,
16,MUSCLE,Head & TMJ,Right,Sternohyoid,,,,,,,
17,MUSCLE,Head & TMJ,Left,Sternothyroid,,,,,,,
18,MUSCLE,Head & TMJ,Right,Sternothyroid,,,,,,,
19,MUSCLE,Head & TMJ,Left,Omohyoid,,,,,,,
20,MUSCLE,Head & TMJ,Right,Omohyoid,,,,,,,
21,MUSCLE,Head & TMJ,Left,Thyrohyoid,,,,,,,
22,MUSCLE,Head & TMJ,Right,Thyrohyoid,,,,,,,
23,FASCIA,Head & TMJ,Left,Temporalis Fascia,,,,,,,
24,FASCIA,Head & TMJ,Right,Temporalis Fascia,,,,,,,
25,FASCIA,Head & TMJ,Left,Superficial Fascia of Face/Scalp,,,,,,,
26,FASCIA,Head & TMJ,Right,Superficial Fascia of Face/Scalp,,,,,,,
27,MUSCLE,Cervical,Left,Longus Capitis,,,,,,,
28,MUSCLE,Cervical,Right,Longus Capitis,,,,,,,
29,MUSCLE,Cervical,Left,Longus Colli,,,,,,,
30,MUSCLE,Cervical,Right,Longus Colli,,,,,,,
31,MUSCLE,Cervical,Left,Rectus Capitis Anterior,,,,,,,
32,MUSCLE,Cervical,Right,Rectus Capitis Anterior,,,,,,,
33,MUSCLE,Cervical,Left,Sternocleidomastoid,,,,,,,
34,MUSCLE,Cervical,Right,Sternocleidomastoid,,,,,,,
35,MUSCLE,Cervical,Left,Scalenes (Anterior),,,,,,,
36,MUSCLE,Cervical,Right,Scalenes (Anterior),,,,,,,
37,MUSCLE,Cervical,Left,Scalenes (Middle),,,,,,,
38,MUSCLE,Cervical,Right,Scalenes (Middle),,,,,,,
39,MUSCLE,Cervical,Left,Scalenes (Posterior),,,,,,,
40,MUSCLE,Cervical,Right,Scalenes (Posterior),,,,,,,
41,MUSCLE,Cervical,Left,Rectus Capitis Posterior Major,,,,,,,
42,MUSCLE,Cervical,Right,Rectus Capitis Posterior Major,,,,,,,
43,MUSCLE,Cervical,Left,Rectus Capitis Posterior Minor,,,,,,,
44,MUSCLE,Cervical,Right,Rectus Capitis Posterior Minor,,,,,,,
45,MUSCLE,Cervical,Left,Obliquus Capitis Superior,,,,,,,
46,MUSCLE,Cervical,Right,Obliquus Capitis Superior,,,,,,,
47,MUSCLE,Cervical,Left,Obliquus Capitis Inferior,,,,,,,
48,MUSCLE,Cervical,Right,Obliquus Capitis Inferior,,,,,,,
49,MUSCLE,Cervical,Left,Splenius Capitis,,,,,,,
50,MUSCLE,Cervical,Right,Splenius Capitis,,,,,,,
51,MUSCLE,Cervical,Left,Splenius Cervicis,,,,,,,
52,MUSCLE,Cervical,Right,Splenius Cervicis,,,,,,,
53,MUSCLE,Cervical,Left,Levator Scapulae,,,,,,,
54,MUSCLE,Cervical,Right,Levator Scapulae,,,,,,,
55,MUSCLE,Cervical,Left,Upper Trapezius,,,,,,,
56,MUSCLE,Cervical,Right,Upper Trapezius,,,,,,,
57,FASCIA,Cervical,Center,Nuchal Ligament,,,,,,,
58,FASCIA,Cervical,Left,Prevertebral Fascia,,,,,,,
59,FASCIA,Cervical,Right,Prevertebral Fascia,,,,,,,
60,FASCIA,Cervical,Left,Suboccipital Fascia,,,,,,,
61,FASCIA,Cervical,Right,Suboccipital Fascia,,,,,,,
62,MUSCLE,Shoulder Girdle & Scapular Region,Left,Middle Trapezius,,,,,,,
63,MUSCLE,Shoulder Girdle & Scapular Region,Right,Middle Trapezius,,,,,,,
64,MUSCLE,Shoulder Girdle & Scapular Region,Left,Lower Trapezius,,,,,,,
65,MUSCLE,Shoulder Girdle & Scapular Region,Right,Lower Trapezius,,,,,,,
66,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Major,,,,,,,
67,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Major,,,,,,,
68,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Minor,,,,,,,
69,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Minor,,,,,,,
70,MUSCLE,Shoulder Girdle & Scapular Region,Left,Serratus Anterior,,,,,,,
71,MUSCLE,Shoulder Girdle & Scapular Region,Right,Serratus Anterior,,,,,,,
72,MUSCLE,Shoulder Girdle & Scapular Region,Left,Supraspinatus,,,,,,,
73,MUSCLE,Shoulder Girdle & Scapular Region,Right,Supraspinatus,,,,,,,
74,MUSCLE,Shoulder Girdle & Scapular Region,Left,Infraspinatus,,,,,,,
75,MUSCLE,Shoulder Girdle & Scapular Region,Right,Infraspinatus,,,,,,,
76,MUSCLE,Shoulder Girdle & Scapular Region,Left,Teres Minor,,,,,,,
77,MUSCLE,Shoulder Girdle & Scapular Region,Right,Teres Minor,,,,,,,
78,MUSCLE,Shoulder Girdle & Scapular Region,Left,Subscapularis,,,,,,,
79,MUSCLE,Shoulder Girdle & Scapular Region,Right,Subscapularis,,,,,,,
80,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Minor,,,,,,,
81,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Minor,,,,,,,
82,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Major,,,,,,,
83,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Major,,,,,,,
,,,,,,,,,,,
84,MUSCLE,Shoulder Girdle & Scapular Region,Left,Latissimus Dorsi,-0.2,-0.05,-0.1,,,-0.15,        // Slightly tight when left SI is anterior; mild cross-effect if right SI is shifted
85,MUSCLE,Shoulder Girdle & Scapular Region,Right,Latissimus Dorsi,-0.05,-0.2,,-0.1,,,-0.15      // Mirror side
86,FASCIA,Shoulder Girdle & Scapular Region,Left,Brachial Fascia,,,,,,,
87,FASCIA,Shoulder Girdle & Scapular Region,Right,Brachial Fascia,,,,,,,
88,FASCIA,Shoulder Girdle & Scapular Region,Left,Axillary Fascia,,,,,,,
89,FASCIA,Shoulder Girdle & Scapular Region,Right,Axillary Fascia,,,,,,,
90,MUSCLE,Thoracic Region,Left,Iliocostalis Thoracis,,,,,,,
91,MUSCLE,Thoracic Region,Right,Iliocostalis Thoracis,,,,,,,
92,MUSCLE,Thoracic Region,Left,Longissimus Thoracis,,,,,,,
93,MUSCLE,Thoracic Region,Right,Longissimus Thoracis,,,,,,,
94,MUSCLE,Thoracic Region,Left,Spinalis Thoracis,,,,,,,
95,MUSCLE,Thoracic Region,Right,Spinalis Thoracis,,,,,,,
96,MUSCLE,Thoracic Region,Left,Multifidus (Thoracic),,,,,,,
97,MUSCLE,Thoracic Region,Right,Multifidus (Thoracic),,,,,,,
98,MUSCLE,Thoracic Region,Left,Serratus Posterior Superior,,,,,,,
99,MUSCLE,Thoracic Region,Right,Serratus Posterior Superior,,,,,,,
100,MUSCLE,Thoracic Region,Left,Serratus Posterior Inferior,,,,,,,
101,MUSCLE,Thoracic Region,Right,Serratus Posterior Inferior,,,,,,,
102,MUSCLE,Thoracic Region,Left,Intercostal Muscles,,,,,,,
103,MUSCLE,Thoracic Region,Right,Intercostal Muscles,,,,,,,
104,FASCIA,Thoracic Region,Left,Thoracolumbar Fascia (Upper Portion),,,,,,,
105,FASCIA,Thoracic Region,Right,Thoracolumbar Fascia (Upper Portion),,,,,,,
106,FASCIA,Thoracic Region,Left,Costal Pleura & Intercostal Fascia,,,,,,,
107,FASCIA,Thoracic Region,Right,Costal Pleura & Intercostal Fascia,,,,,,,
108,MUSCLE,Abdominal & Core Region,Left,Rectus Abdominis,0.15,0.05,0.1,,,0.2,
109,MUSCLE,Abdominal & Core Region,Right,Rectus Abdominis,0.05,0.15,,,0.1,,0.2
110,MUSCLE,Abdominal & Core Region,Left,External Oblique,0.25,0.1,0.15,,0.05,0.25,
111,MUSCLE,Abdominal & Core Region,Right,External Oblique,0.1,0.25,,0.15,0.05,0.25,
112,MUSCLE,Abdominal & Core Region,Left,Internal Oblique,-0.1,,-0.05,,,,
113,MUSCLE,Abdominal & Core Region,Right,Internal Oblique,,-0.1,,,-0.05,,
